beta1 6.11551000e-03 ""
betas1 1.95607000e-04 ""
betas2 1.02103000e-03 ""
betas3 9.78217000e-04 ""
betas4 2.80932000e-03 ""
betas5 8.21006000e-04 ""
betas6 2.90339000e-04 ""
lambdas1 1.24906000e-02[1/s] ""
lambdas2 3.18195000e-02[1/s] ""
lambdas3 1.09398000e-01[1/s] ""
lambdas4 3.17091000e-01[1/s] ""
lambdas5 1.35374000e+00[1/s] ""
lambdas6 8.64421000e+00[1/s] ""
kappa1 0.00000000e+00[MeV] ""
kappa2 0.00000000e+00[MeV] ""
kappa3 0.00000000e+00[MeV] ""
kappa4 0.00000000e+00[MeV] ""
kappa5 0.00000000e+00[MeV] ""
kappa6 0.00000000e+00[MeV] ""
kappa7 0.00000000e+00[MeV] ""
kappa8 0.00000000e+00[MeV] ""
diff11 2.50685000e+00[cm] ""
diff12 1.23446000e+00[cm] ""
diff13 1.47943000e+00[cm] ""
diff14 1.49501000e+00[cm] ""
diff15 1.49260000e+00[cm] ""
diff16 1.47795000e+00[cm] ""
diff17 1.44906000e+00[cm] ""
diff18 1.33319000e+00[cm] ""
invV1 4.81287000e-10[s/cm] ""
invV2 1.96447000e-09[s/cm] ""
invV3 3.07004000e-08[s/cm] ""
invV4 2.03797000e-07[s/cm] ""
invV5 6.76604000e-07[s/cm] ""
invV6 1.36624000e-06[s/cm] ""
invV7 2.16500000e-06[s/cm] ""
invV8 4.16832000e-06[s/cm] ""
chit1 0.00000000e+00 ""
chit2 0.00000000e+00 ""
chit3 0.00000000e+00 ""
chit4 0.00000000e+00 ""
chit5 0.00000000e+00 ""
chit6 0.00000000e+00 ""
chit7 0.00000000e+00 ""
chit8 0.00000000e+00 ""
chip1 0.00000000e+00 ""
chip2 0.00000000e+00 ""
chip3 0.00000000e+00 ""
chip4 0.00000000e+00 ""
chip5 0.00000000e+00 ""
chip6 0.00000000e+00 ""
chip7 0.00000000e+00 ""
chip8 0.00000000e+00 ""
chid1 0.00000000e+00 ""
chid2 0.00000000e+00 ""
chid3 0.00000000e+00 ""
chid4 0.00000000e+00 ""
chid5 0.00000000e+00 ""
chid6 0.00000000e+00 ""
chid7 0.00000000e+00 ""
chid8 0.00000000e+00 ""
fiss1 0.00000000e+00[1/cm] ""
fiss2 0.00000000e+00[1/cm] ""
fiss3 0.00000000e+00[1/cm] ""
fiss4 0.00000000e+00[1/cm] ""
fiss5 0.00000000e+00[1/cm] ""
fiss6 0.00000000e+00[1/cm] ""
fiss7 0.00000000e+00[1/cm] ""
fiss8 0.00000000e+00[1/cm] ""
nsf1 0.00000000e+00[1/cm] ""
nsf2 0.00000000e+00[1/cm] ""
nsf3 0.00000000e+00[1/cm] ""
nsf4 0.00000000e+00[1/cm] ""
nsf5 0.00000000e+00[1/cm] ""
nsf6 0.00000000e+00[1/cm] ""
nsf7 0.00000000e+00[1/cm] ""
nsf8 0.00000000e+00[1/cm] ""
scat11 (0.00013701*(T_flibe[1/K])+(0))[1/cm] ""
scat12 0[1/cm] ""
scat13 0[1/cm] ""
scat14 0[1/cm] ""
scat15 0[1/cm] ""
scat16 0[1/cm] ""
scat17 0[1/cm] ""
scat18 0[1/cm] ""
scat21 (4.6847e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat22 (0.00031485*(T_flibe[1/K])+(0))[1/cm] ""
scat23 0[1/cm] ""
scat24 0[1/cm] ""
scat25 0[1/cm] ""
scat26 0[1/cm] ""
scat27 0[1/cm] ""
scat28 0[1/cm] ""
scat31 (4.0269e-08*(T_flibe[1/K])+(0))[1/cm] ""
scat32 (1.3442e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat33 (0.00024713*(T_flibe[1/K])+(0))[1/cm] ""
scat34 0[1/cm] ""
scat35 0[1/cm] ""
scat36 0[1/cm] ""
scat37 0[1/cm] ""
scat38 0[1/cm] ""
scat41 (1.9672e-12*(T_flibe[1/K])+(0))[1/cm] ""
scat42 (1.9411e-11*(T_flibe[1/K])+(0))[1/cm] ""
scat43 (5.3911e-06*(T_flibe[1/K])+(0))[1/cm] ""
scat44 (0.00023632*(T_flibe[1/K])+(0))[1/cm] ""
scat45 (1.59e-07*(T_flibe[1/K])+(0))[1/cm] ""
scat46 0[1/cm] ""
scat47 0[1/cm] ""
scat48 0[1/cm] ""
scat51 0[1/cm] ""
scat52 (4.1491e-13*(T_flibe[1/K])+(0))[1/cm] ""
scat53 0[1/cm] ""
scat54 (1.3291e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat55 (0.00022309*(T_flibe[1/K])+(0))[1/cm] ""
scat56 (6.4742e-06*(T_flibe[1/K])+(0))[1/cm] ""
scat57 (2.2948e-08*(T_flibe[1/K])+(0))[1/cm] ""
scat58 (4.0217e-10*(T_flibe[1/K])+(0))[1/cm] ""
scat61 0[1/cm] ""
scat62 0[1/cm] ""
scat63 0[1/cm] ""
scat64 0[1/cm] ""
scat65 (2.6075e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat66 (0.00019607*(T_flibe[1/K])+(0))[1/cm] ""
scat67 (3.1738e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat68 (1.5931e-06*(T_flibe[1/K])+(0))[1/cm] ""
scat71 0[1/cm] ""
scat72 0[1/cm] ""
scat73 0[1/cm] ""
scat74 0[1/cm] ""
scat75 (2.293e-07*(T_flibe[1/K])+(0))[1/cm] ""
scat76 (4.8006e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat77 (0.00019682*(T_flibe[1/K])+(0))[1/cm] ""
scat78 (8.8528e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat81 0[1/cm] ""
scat82 0[1/cm] ""
scat83 0[1/cm] ""
scat84 0[1/cm] ""
scat85 (1.4101e-09*(T_flibe[1/K])+(0))[1/cm] ""
scat86 (8.0688e-07*(T_flibe[1/K])+(0))[1/cm] ""
scat87 (2.6863e-05*(T_flibe[1/K])+(0))[1/cm] ""
scat88 (0.00018559*(T_flibe[1/K])+(0))[1/cm] ""
rem1 (4.8293e-05*(T_flibe[1/K])+(0))[1/cm] ""
rem2 (1.3505e-05*(T_flibe[1/K])+(0))[1/cm] ""
rem3 (5.4181e-06*(T_flibe[1/K])+(0))[1/cm] ""
rem4 (1.3452e-05*(T_flibe[1/K])+(0))[1/cm] ""
rem5 (2.6998e-05*(T_flibe[1/K])+(0))[1/cm] ""
rem6 (5.6362e-05*(T_flibe[1/K])+(0))[1/cm] ""
rem7 (6.0329e-05*(T_flibe[1/K])+(0))[1/cm] ""
rem8 (9.3441e-05*(T_flibe[1/K])+(0))[1/cm] ""
tot1 (0.00018531*(T_flibe[1/K])+(0))[1/cm] ""
tot2 (0.00032836*(T_flibe[1/K])+(0))[1/cm] ""
tot3 (0.00025255*(T_flibe[1/K])+(0))[1/cm] ""
tot4 (0.00024978*(T_flibe[1/K])+(0))[1/cm] ""
tot5 (0.00025009*(T_flibe[1/K])+(0))[1/cm] ""
tot6 (0.00025243*(T_flibe[1/K])+(0))[1/cm] ""
tot7 (0.00025715*(T_flibe[1/K])+(0))[1/cm] ""
tot8 (0.00027903*(T_flibe[1/K])+(0))[1/cm] ""
diff21 (0.00018531*(T_flibe[1/K])+(0))[1/cm] ""
diff22 (0.00032836*(T_flibe[1/K])+(0))[1/cm] ""
diff23 (0.00025255*(T_flibe[1/K])+(0))[1/cm] ""
diff24 (0.00024978*(T_flibe[1/K])+(0))[1/cm] ""
diff25 (0.00025009*(T_flibe[1/K])+(0))[1/cm] ""
diff26 (0.00025243*(T_flibe[1/K])+(0))[1/cm] ""
diff27 (0.00025715*(T_flibe[1/K])+(0))[1/cm] ""
diff28 (0.00027903*(T_flibe[1/K])+(0))[1/cm] ""
