beta1 6.11551000e-03 ""
betas1 1.95607000e-04 ""
betas2 1.02103000e-03 ""
betas3 9.78217000e-04 ""
betas4 2.80932000e-03 ""
betas5 8.21006000e-04 ""
betas6 2.90339000e-04 ""
lambdas1 1.24906000e-02[1/s] ""
lambdas2 3.18195000e-02[1/s] ""
lambdas3 1.09398000e-01[1/s] ""
lambdas4 3.17091000e-01[1/s] ""
lambdas5 1.35374000e+00[1/s] ""
lambdas6 8.64421000e+00[1/s] ""
kappa1 0.00000000e+00[MeV] ""
kappa2 0.00000000e+00[MeV] ""
kappa3 0.00000000e+00[MeV] ""
kappa4 0.00000000e+00[MeV] ""
kappa5 0.00000000e+00[MeV] ""
kappa6 0.00000000e+00[MeV] ""
kappa7 0.00000000e+00[MeV] ""
kappa8 0.00000000e+00[MeV] ""
diff11 2.40527000e+00[cm] ""
diff12 1.12115000e+00[cm] ""
diff13 8.51479000e-01[cm] ""
diff14 8.48182000e-01[cm] ""
diff15 8.44273000e-01[cm] ""
diff16 8.35959000e-01[cm] ""
diff17 8.05352000e-01[cm] ""
diff18 7.31223000e-01[cm] ""
diff21 1.62318192e+00[cm] ""
diff22 7.53724340e-01[cm] ""
diff23 6.19721394e-01[cm] ""
diff24 6.17686421e-01[cm] ""
diff25 6.16491349e-01[cm] ""
diff26 6.13669488e-01[cm] ""
diff27 6.01079137e-01[cm] ""
diff28 5.67817254e-01[cm] ""
invV1 4.83551000e-10[s/cm] ""
invV2 1.99499000e-09[s/cm] ""
invV3 3.44027000e-08[s/cm] ""
invV4 2.09002000e-07[s/cm] ""
invV5 7.48237000e-07[s/cm] ""
invV6 1.38027000e-06[s/cm] ""
invV7 2.16900000e-06[s/cm] ""
invV8 4.15869000e-06[s/cm] ""
chit1 0.00000000e+00 ""
chit2 0.00000000e+00 ""
chit3 0.00000000e+00 ""
chit4 0.00000000e+00 ""
chit5 0.00000000e+00 ""
chit6 0.00000000e+00 ""
chit7 0.00000000e+00 ""
chit8 0.00000000e+00 ""
chip1 0.00000000e+00 ""
chip2 0.00000000e+00 ""
chip3 0.00000000e+00 ""
chip4 0.00000000e+00 ""
chip5 0.00000000e+00 ""
chip6 0.00000000e+00 ""
chip7 0.00000000e+00 ""
chip8 0.00000000e+00 ""
chid1 0.00000000e+00 ""
chid2 0.00000000e+00 ""
chid3 0.00000000e+00 ""
chid4 0.00000000e+00 ""
chid5 0.00000000e+00 ""
chid6 0.00000000e+00 ""
chid7 0.00000000e+00 ""
chid8 0.00000000e+00 ""
fiss1 0.00000000e+00[1/cm] ""
fiss2 0.00000000e+00[1/cm] ""
fiss3 0.00000000e+00[1/cm] ""
fiss4 0.00000000e+00[1/cm] ""
fiss5 0.00000000e+00[1/cm] ""
fiss6 0.00000000e+00[1/cm] ""
fiss7 0.00000000e+00[1/cm] ""
fiss8 0.00000000e+00[1/cm] ""
scat11 1.22693000e-01[1/cm] ""
scat12 0.00000000e+00[1/cm] ""
scat13 0.00000000e+00[1/cm] ""
scat14 0.00000000e+00[1/cm] ""
scat15 0.00000000e+00[1/cm] ""
scat16 0.00000000e+00[1/cm] ""
scat17 0.00000000e+00[1/cm] ""
scat18 0.00000000e+00[1/cm] ""
scat21 3.56589000e-02[1/cm] ""
scat22 3.23761000e-01[1/cm] ""
scat23 0.00000000e+00[1/cm] ""
scat24 0.00000000e+00[1/cm] ""
scat25 0.00000000e+00[1/cm] ""
scat26 0.00000000e+00[1/cm] ""
scat27 0.00000000e+00[1/cm] ""
scat28 0.00000000e+00[1/cm] ""
scat31 1.23724000e-06[1/cm] ""
scat32 1.74019000e-02[1/cm] ""
scat33 4.02683000e-01[1/cm] ""
scat34 0.00000000e+00[1/cm] ""
scat35 0.00000000e+00[1/cm] ""
scat36 0.00000000e+00[1/cm] ""
scat37 0.00000000e+00[1/cm] ""
scat38 0.00000000e+00[1/cm] ""
scat41 0.00000000e+00[1/cm] ""
scat42 0.00000000e+00[1/cm] ""
scat43 1.22472000e-02[1/cm] ""
scat44 3.89085000e-01[1/cm] ""
scat45 1.57583000e-04[1/cm] ""
scat46 0.00000000e+00[1/cm] ""
scat47 0.00000000e+00[1/cm] ""
scat48 0.00000000e+00[1/cm] ""
scat51 0.00000000e+00[1/cm] ""
scat52 0.00000000e+00[1/cm] ""
scat53 0.00000000e+00[1/cm] ""
scat54 2.71994000e-02[1/cm] ""
scat55 3.45180000e-01[1/cm] ""
scat56 9.96200000e-03[1/cm] ""
scat57 1.22410000e-04[1/cm] ""
scat58 0.00000000e+00[1/cm] ""
scat61 0.00000000e+00[1/cm] ""
scat62 0.00000000e+00[1/cm] ""
scat63 0.00000000e+00[1/cm] ""
scat64 0.00000000e+00[1/cm] ""
scat65 7.06114000e-02[1/cm] ""
scat66 3.39685000e-01[1/cm] ""
scat67 4.52500000e-02[1/cm] ""
scat68 7.75140000e-03[1/cm] ""
scat71 0.00000000e+00[1/cm] ""
scat72 0.00000000e+00[1/cm] ""
scat73 0.00000000e+00[1/cm] ""
scat74 0.00000000e+00[1/cm] ""
scat75 1.10210000e-03[1/cm] ""
scat76 6.57860000e-02[1/cm] ""
scat77 3.60776000e-01[1/cm] ""
scat78 7.41598000e-02[1/cm] ""
scat81 0.00000000e+00[1/cm] ""
scat82 0.00000000e+00[1/cm] ""
scat83 0.00000000e+00[1/cm] ""
scat84 0.00000000e+00[1/cm] ""
scat85 0.00000000e+00[1/cm] ""
scat86 3.48862000e-03[1/cm] ""
scat87 2.14931000e-02[1/cm] ""
scat88 3.70645000e-01[1/cm] ""
nsf1 0.00000000e+00[1/cm] ""
nsf2 0.00000000e+00[1/cm] ""
nsf3 0.00000000e+00[1/cm] ""
nsf4 0.00000000e+00[1/cm] ""
nsf5 0.00000000e+00[1/cm] ""
nsf6 0.00000000e+00[1/cm] ""
nsf7 0.00000000e+00[1/cm] ""
nsf8 0.00000000e+00[1/cm] ""
nsf01 0.00000000e+00[1/cm] ""
nsf02 0.00000000e+00[1/cm] ""
nsf03 0.00000000e+00[1/cm] ""
nsf04 0.00000000e+00[1/cm] ""
nsf05 0.00000000e+00[1/cm] ""
nsf06 0.00000000e+00[1/cm] ""
nsf07 0.00000000e+00[1/cm] ""
nsf08 0.00000000e+00[1/cm] ""
rem1 3.57263000e-02[1/cm] ""
rem2 1.74020000e-02[1/cm] ""
rem3 1.22498000e-02[1/cm] ""
rem4 2.72147000e-02[1/cm] ""
rem5 7.19272000e-02[1/cm] ""
rem6 7.93391000e-02[1/cm] ""
rem7 6.70258000e-02[1/cm] ""
rem8 8.22170000e-02[1/cm] ""
tot1 1.58419000e-01[1/cm] ""
tot2 3.41163000e-01[1/cm] ""
tot3 4.14933000e-01[1/cm] ""
tot4 4.16300000e-01[1/cm] ""
tot5 4.17107000e-01[1/cm] ""
tot6 4.19025000e-01[1/cm] ""
tot7 4.27802000e-01[1/cm] ""
tot8 4.52862000e-01[1/cm] ""
