% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jan 30 2017, 18:25
% Dimension:          2
% Nodes:              4862
% Expressions:        16
% Description:        power density, Dependent variable Tp4, Dependent variable Flux1, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Tp4 (K)                  Flux1 (1/(m^2*s))        Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.01                      0.01                     0                        NaN                      1.7786573580397702E-6    9.122490208577415E-5     0.0019356360207559069    0.001216164792430535     0.003424815220943186     0.013512926069723012     0.019907531701938645     0.005898157210487296     8.210851806387297E-9     1.6810254919884376E-8    4.7073539887339795E-9    4.6364679147389055E-9    3.1893819743786614E-10   1.7517365066073306E-11
0.03                      0.01                     0                        NaN                      1.7971924304102473E-6    9.037133025548754E-5     0.0019041617187832542    0.0012010880872284845    0.0033785399474403907    0.013589946613549097     0.019990637874439644     0.0059164563250147335    -6.493025710381615E-9    -1.3293312309932337E-8   -3.722509088879234E-9    -3.666453382137577E-9    -2.522118246459983E-10   -1.3852485032512083E-11
0.05                      0.01                     0                        NaN                      1.8132474729109987E-6    8.936716452114465E-5     0.001869672642208431     0.00118437436064121      0.003329990951175206     0.013668896208507994     0.02007680630749993      0.005935531331276148     -2.580312204566546E-8    -5.28272911927483E-8     -1.4793158170138292E-8   -1.4570394191228071E-8   -1.0022834935483697E-9   -5.5049429630035355E-11
0.06999999999999999       0.01                     0                        NaN                      1.8132289217963351E-6    8.573878826977611E-5     0.0017770426401311603    0.0011388871639767624    0.0032068360028241444    0.013861732458237217     0.020261190038564213     0.00597186414745827      -4.525502763997689E-9    -9.265159924608948E-9    -2.594510775430053E-9    -2.555441123296753E-9    -1.7578635299771256E-10  -9.654891586619879E-12
0.09                      0.01                     0                        NaN                      1.8109645359841353E-6    8.187113230798807E-5     0.001679933484085412     0.0010913199360261367    0.0030771339835976245    0.014065742984561608     0.02045337280255819      0.006009240905642029     2.566108458478771E-8     5.2536494819627666E-8    1.47117268370953E-8      1.4490189098555658E-8    9.967662618641048E-10    5.474640113629022E-11
0.11                      0.01                     0                        NaN                      1.8837610873716275E-6    7.833393104225651E-5     0.0014996864408067122    0.001001687671112971     0.0027492403249641893    0.014621230904815583     0.020891876958477898     0.006074918184791132     -6.104002284230431E-9    -1.2496856215289229E-8   -3.499478516657822E-9    -3.446781333979476E-9    -2.371007943627283E-10   -1.3022526638933002E-11
0.13                      0.01                     0                        NaN                      1.8609416933515555E-6    7.467792006720536E-5     0.0013845182359040955    9.358232284771855E-4     0.0026704217228230315    0.014734766972817902     0.021069144333578635     0.0061184971771617545    -8.3371811289648E-9      -1.7068891680900094E-8   -4.779779707106664E-9    -4.707803004524069E-9    -3.2384527009932526E-10  -1.7786881178934867E-11
0.15000000000000002       0.01                     0                        NaN                      1.8381222993314816E-6    7.102190909215416E-5     0.0012693500310014785    8.699587858413997E-4     0.002591603120681873     0.01484830304082021      0.02124641170867935      0.006162076169532373     -1.0570359973699172E-8   -2.1640927146510956E-8   -6.0600808975555046E-9   -5.96882467506866E-9     -4.105897458359221E-10   -2.2551235718936725E-11
0.17                      0.01                     0                        NaN                      1.815302905311409E-6     6.736589811710299E-5     0.0011541818260988616    8.04094343205614E-4      0.0025127845185407153    0.014961839108822532     0.021423679083780088     0.006205655161902997     -1.2803538818433542E-8   -2.6212962612121818E-8   -7.3403820880043484E-9   -7.2298463456132535E-9   -4.97334221572519E-10    -2.731559025893859E-11
0.19                      0.01                     0                        NaN                      1.7915788975840905E-6    6.396793469043108E-5     0.0010478447354570985    7.415152464790577E-4     0.002453944671826219     0.015061176767232478     0.02159551296645824      0.006251877909597681     -5.5581077804632365E-8   -1.1379234562374787E-7   -3.1865123676722286E-8   -3.1385280112754865E-8   -2.1589634284804998E-9   -1.1857893110580442E-10
0.21000000000000002       0.01                     0                        NaN                      1.7229280412769643E-6    6.063378955826772E-5     9.789779644679424E-4     6.961797643696209E-4     0.0024236696791041503    0.015004763007869428     0.021539072084658523     0.00623770994410243      -6.866841385228342E-8    -1.4058633245615734E-7   -3.9368209227223605E-8   -3.8775379837504164E-8   -2.6673213268722843E-9   -1.464999859116827E-10
0.23                      0.01                     0                        NaN                      1.6483659564735604E-6    5.718671998114658E-5     9.112726151367968E-4     6.515864799753546E-4     0.002391965885159517     0.014935699717878422     0.021461260171322806     0.0062171250736355686    -7.411526702799648E-8    -1.5173779305415407E-7   -4.249093834563193E-8    -4.185108508477728E-8    -2.878896151815446E-9    -1.5812052392529568E-10
0.25                      0.01                     0                        NaN                      1.573803871670158E-6     5.373965040402548E-5     8.435672658056516E-4     6.069931955810888E-4     0.0023602620912148847    0.014866636427887422     0.021383448257987103     0.006196540203168712     -7.956212020370954E-8    -1.6288925365215082E-7   -4.561366746404026E-8    -4.49267903320504E-8     -3.090470976758609E-9    -1.6974106193890866E-10
0.27                      0.01                     0                        NaN                      1.4992417868667548E-6    5.029258082690436E-5     7.758619164745061E-4     5.623999111868225E-4     0.0023285582972702524    0.014797573137896418     0.021305636344651394     0.006175955332701852     -8.500897337942264E-8    -1.7404071425014763E-7   -4.87363965824486E-8     -4.800249557932352E-8    -3.3020458017017724E-9   -1.8136159995252167E-10
0.29000000000000004       0.01                     0                        NaN                      1.4248452515836953E-6    4.68664426423413E-5      7.086501016816258E-4     5.180547202772414E-4     0.002297026357682451     0.014728851247368724     0.021227769419832968     0.0061553498474661095    -9.063253318797967E-8    -1.8555395016868185E-7   -5.196043317693471E-8    -5.1177982755782754E-8   -3.520484530206162E-9    -1.933591310808705E-10
0.31                      0.01                     0                        NaN                      1.3518581809983258E-6    4.418760495603143E-5     6.634041168387169E-4     4.8543489679935323E-4    0.0022656950110679546    0.014601384864217033     0.02105267478970163      0.006106075890031617     -8.118870742264119E-8    -1.662194009309504E-7    -4.6546204308403383E-8   -4.584528449428024E-8    -3.1536533125033577E-9   -1.732112892426909E-10
0.33                      0.01                     0                        NaN                      1.266473610858881E-6     4.1125218462495236E-5    6.146803509183066E-4     4.5172018624738244E-4    0.002228332743015065     0.014439384553841927     0.020831270161917652     0.0060431778997217175    -8.377945427624927E-8    -1.71523493133438E-7     -4.80315024020366E-8     -4.7308216105422024E-8   -3.254286980116845E-9    -1.787384939101932E-10
0.35000000000000003       0.01                     0                        NaN                      1.1810890407194372E-6    3.8062831968959067E-5    5.65956584997897E-4      4.180054756954119E-4     0.0021909704749621768    0.01427738424346682      0.020609865534133673     0.005980279909411818     -8.637020112985735E-8    -1.768275853359256E-7    -4.951680049566983E-8    -4.877114771656381E-8    -3.3549206477303327E-9   -1.842656985776955E-10
0.37                      0.01                     0                        NaN                      1.0957044705799932E-6    3.5000445475422864E-5    5.17232819077487E-4      3.842907651434412E-4     0.002153608206909287     0.014115383933091709     0.02038846090634969      0.005917381919101919     -8.89609479834654E-8     -1.8213167753841316E-7   -5.100209858930304E-8    -5.0234079327705586E-8   -3.4555543153438193E-9   -1.8979290324519774E-10
0.39                      0.01                     0                        NaN                      1.0103199004405495E-6    3.19380589818867E-5      4.6850905315707703E-4    3.505760545914706E-4     0.002116245938856398     0.013953383622716607     0.020167056278565722     0.005854483928792023     -9.155169483707348E-8    -1.874357697409008E-7    -5.2487396682936274E-8   -5.1697010938847374E-8   -3.556187982957307E-9    -1.9532010791270004E-10
0.41000000000000003       0.01                     0                        NaN                      9.249353303011053E-7     2.887567248835052E-5     4.1978528723666706E-4    3.1686134403949995E-4    0.002078883670803509     0.013791383312341497     0.019945651650781743     0.005791585938482124     -9.414244169068157E-8    -1.9273986194338841E-7   -5.39726947765695E-8     -5.315994254998916E-8    -3.6568216505707946E-9   -2.0084731258020235E-10
0.43                      0.01                     0                        NaN                      8.537382658150787E-7     2.629240987072117E-5     3.7762365191577874E-4    2.871076976860254E-4     0.002043114788691972     0.013624928996057816     0.019716761488819155     0.005726355641150093     -8.752575747317818E-8    -1.7919338089082787E-7   -5.017929117144924E-8    -4.942366222246588E-8    -3.3998064970754556E-9   -1.867310094611073E-10
0.45                      0.01                     0                        NaN                      8.432501973537938E-7     2.5938934075559743E-5    3.6975689703426653E-4    2.7868766221675594E-4    0.0020083818731218357    0.013388801007599307     0.01937978473764186      0.005628694435706993     -4.2317877794477404E-8   -8.663830868805782E-8    -2.426121376050493E-8    -2.389587429422443E-8    -1.6437743587903075E-9   -9.028268097235361E-11
0.47000000000000003       0.01                     0                        NaN                      7.784454406310764E-7     2.381963936632259E-5     3.3908615170093274E-4    2.568093955563379E-4     0.001965441206138249     0.013150684268965112     0.01904232150728355      0.005531425759281608     -3.974016808546507E-8    -8.136090771435495E-8    -2.2783389977218743E-8   -2.2440304440917676E-8   -1.5436470994637006E-9   -8.47832902791731E-11
