kappa1 205.166[MeV]
kappa2 202.122[MeV]
kappa3 202.024[MeV]
kappa4 202.023[MeV]
kappa5 202.023[MeV]
kappa6 202.023[MeV]
kappa7 202.023[MeV]
kappa8 202.023[MeV]
c1 2.3257[cm]
c2 1.1324[cm]
c3 1.0079[cm]
c4 1.0039[cm]
c5 1.0141[cm]
c6 1.0128[cm]
c7 0.98898[cm]
c8 0.9005[cm]
invV1 4.7945e-10[s/cm]
invV2 1.947e-09[s/cm]
invV3 3.054e-08[s/cm]
invV4 2.0338e-07[s/cm]
invV5 6.7486e-07[s/cm]
invV6 1.3627e-06[s/cm]
invV7 2.1614e-06[s/cm]
invV8 4.1484e-06[s/cm]
scat11 0.13337[1/cm]
scat12 0[1/cm]
scat13 0[1/cm]
scat14 0[1/cm]
scat15 0[1/cm]
scat16 0[1/cm]
scat17 0[1/cm]
scat18 0[1/cm]
scat21 0.038338[1/cm]
scat22 0.32256[1/cm]
scat23 0[1/cm]
scat24 0[1/cm]
scat25 0[1/cm]
scat26 0[1/cm]
scat27 0[1/cm]
scat28 0[1/cm]
scat31 1.7186e-05[1/cm]
scat32 0.014462[1/cm]
scat33 0.34155[1/cm]
scat34 0[1/cm]
scat35 0[1/cm]
scat36 0[1/cm]
scat37 0[1/cm]
scat38 0[1/cm]
scat41 2.2824e-09[1/cm]
scat42 8.1519e-09[1/cm]
scat43 0.0077608[1/cm]
scat44 0.32787[1/cm]
scat45 0.00020018[1/cm]
scat46 0[1/cm]
scat47 0[1/cm]
scat48 0[1/cm]
scat51 0[1/cm]
scat52 1.7382e-10[1/cm]
scat53 0[1/cm]
scat54 0.01936[1/cm]
scat55 0.31017[1/cm]
scat56 0.0096092[1/cm]
scat57 7.4846e-05[1/cm]
scat58 2.1593e-07[1/cm]
scat61 0[1/cm]
scat62 0[1/cm]
scat63 0[1/cm]
scat64 0[1/cm]
scat65 0.03501[1/cm]
scat66 0.27514[1/cm]
scat67 0.039521[1/cm]
scat68 0.0045823[1/cm]
scat71 0[1/cm]
scat72 0[1/cm]
scat73 0[1/cm]
scat74 0[1/cm]
scat75 0.00045083[1/cm]
scat76 0.055753[1/cm]
scat77 0.28172[1/cm]
scat78 0.083775[1/cm]
scat81 0[1/cm]
scat82 0[1/cm]
scat83 0[1/cm]
scat84 0[1/cm]
scat85 6.4877e-07[1/cm]
scat86 0.0020524[1/cm]
scat87 0.02452[1/cm]
scat88 0.27785[1/cm]
rmv1 0.039048[1/cm]
rmv2 0.014534[1/cm]
rmv3 0.0083227[1/cm]
rmv4 0.022977[1/cm]
rmv5 0.036798[1/cm]
rmv6 0.070847[1/cm]
rmv7 0.068882[1/cm]
rmv8 0.098053[1/cm]
fis11 0.00012201[1/cm]
fis12 3.5161e-05[1/cm]
fis13 0.0002509[1/cm]
fis14 0.00088932[1/cm]
fis15 0.00093344[1/cm]
fis16 0.0031837[1/cm]
fis17 0.004385[1/cm]
fis18 0.0090362[1/cm]
fis21 9.1762e-05[1/cm]
fis22 2.6444e-05[1/cm]
fis23 0.0001887[1/cm]
fis24 0.00066884[1/cm]
fis25 0.00070202[1/cm]
fis26 0.0023944[1/cm]
fis27 0.0032979[1/cm]
fis28 0.0067959[1/cm]
fis31 3.5767e-07[1/cm]
fis32 1.0307e-07[1/cm]
fis33 7.3549e-07[1/cm]
fis34 2.607e-06[1/cm]
fis35 2.7363e-06[1/cm]
fis36 9.3326e-06[1/cm]
fis37 1.2854e-05[1/cm]
fis38 2.6489e-05[1/cm]
fis41 6.5182e-11[1/cm]
fis42 1.8784e-11[1/cm]
fis43 1.3404e-10[1/cm]
fis44 4.751e-10[1/cm]
fis45 4.9867e-10[1/cm]
fis46 1.7008e-09[1/cm]
fis47 2.3426e-09[1/cm]
fis48 4.8274e-09[1/cm]
fis51 6.2322e-12[1/cm]
fis52 1.796e-12[1/cm]
fis53 1.2816e-11[1/cm]
fis54 4.5426e-11[1/cm]
fis55 4.7679e-11[1/cm]
fis56 1.6262e-10[1/cm]
fis57 2.2398e-10[1/cm]
fis58 4.6156e-10[1/cm]
fis61 0[1/cm]
fis62 0[1/cm]
fis63 0[1/cm]
fis64 0[1/cm]
fis65 0[1/cm]
fis66 0[1/cm]
fis67 0[1/cm]
fis68 0[1/cm]
fis71 0[1/cm]
fis72 0[1/cm]
fis73 0[1/cm]
fis74 0[1/cm]
fis75 0[1/cm]
fis76 0[1/cm]
fis77 0[1/cm]
fis78 0[1/cm]
fis81 0[1/cm]
fis82 0[1/cm]
fis83 0[1/cm]
fis84 0[1/cm]
fis85 0[1/cm]
fis86 0[1/cm]
fis87 0[1/cm]
fis88 0[1/cm]
