kappa1 205.166[MeV]
kappa2 202.122[MeV]
kappa3 202.024[MeV]
kappa4 202.023[MeV]
kappa5 202.023[MeV]
kappa6 202.023[MeV]
kappa7 202.023[MeV]
kappa8 202.023[MeV]
c1 2.3825[cm]
c2 1.1613[cm]
c3 0.85975[cm]
c4 0.84372[cm]
c5 0.85447[cm]
c6 0.83739[cm]
c7 0.80371[cm]
c8 0.71974[cm]
invV1 4.7839e-10[s/cm]
invV2 1.9302e-09[s/cm]
invV3 3.0402e-08[s/cm]
invV4 2.03e-07[s/cm]
invV5 6.7368e-07[s/cm]
invV6 1.3596e-06[s/cm]
invV7 2.1577e-06[s/cm]
invV8 4.1267e-06[s/cm]
scat11 0.12712[1/cm]
scat12 0[1/cm]
scat13 0[1/cm]
scat14 0[1/cm]
scat15 0[1/cm]
scat16 0[1/cm]
scat17 0[1/cm]
scat18 0[1/cm]
scat21 0.031969[1/cm]
scat22 0.31688[1/cm]
scat23 0[1/cm]
scat24 0[1/cm]
scat25 0[1/cm]
scat26 0[1/cm]
scat27 0[1/cm]
scat28 0[1/cm]
scat31 2.5235e-06[1/cm]
scat32 0.014678[1/cm]
scat33 0.40053[1/cm]
scat34 0[1/cm]
scat35 0[1/cm]
scat36 0[1/cm]
scat37 0[1/cm]
scat38 0[1/cm]
scat41 2.4145e-09[1/cm]
scat42 0[1/cm]
scat43 0.0092712[1/cm]
scat44 0.38824[1/cm]
scat45 0.00022576[1/cm]
scat46 0[1/cm]
scat47 0[1/cm]
scat48 0[1/cm]
scat51 0[1/cm]
scat52 0[1/cm]
scat53 0[1/cm]
scat54 0.023456[1/cm]
scat55 0.36881[1/cm]
scat56 0.012116[1/cm]
scat57 0.00012421[1/cm]
scat58 1.3668e-09[1/cm]
scat61 0[1/cm]
scat62 0[1/cm]
scat63 0[1/cm]
scat64 0[1/cm]
scat65 0.0409[1/cm]
scat66 0.33685[1/cm]
scat67 0.0455[1/cm]
scat68 0.007596[1/cm]
scat71 0[1/cm]
scat72 0[1/cm]
scat73 0[1/cm]
scat74 0[1/cm]
scat75 0.00061358[1/cm]
scat76 0.060466[1/cm]
scat77 0.35446[1/cm]
scat78 0.074105[1/cm]
scat81 0[1/cm]
scat82 0[1/cm]
scat83 0[1/cm]
scat84 0[1/cm]
scat85 1.3073e-09[1/cm]
scat86 0.0031299[1/cm]
scat87 0.020888[1/cm]
scat88 0.36356[1/cm]
rmv1 0.032206[1/cm]
rmv2 0.014755[1/cm]
rmv3 0.010219[1/cm]
rmv4 0.029697[1/cm]
rmv5 0.043322[1/cm]
rmv6 0.081206[1/cm]
rmv7 0.074174[1/cm]
rmv8 0.09783[1/cm]
fis11 0.00019311[1/cm]
fis12 5.8536e-05[1/cm]
fis13 0.00043212[1/cm]
fis14 0.0015662[1/cm]
fis15 0.001658[1/cm]
fis16 0.0060335[1/cm]
fis17 0.0086534[1/cm]
fis18 0.018404[1/cm]
fis21 0.00014524[1/cm]
fis22 4.4024e-05[1/cm]
fis23 0.00032499[1/cm]
fis24 0.0011779[1/cm]
fis25 0.0012469[1/cm]
fis26 0.0045376[1/cm]
fis27 0.006508[1/cm]
fis28 0.013842[1/cm]
fis31 5.6609e-07[1/cm]
fis32 1.7159e-07[1/cm]
fis33 1.2667e-06[1/cm]
fis34 4.5912e-06[1/cm]
fis35 4.8602e-06[1/cm]
fis36 1.7687e-05[1/cm]
fis37 2.5367e-05[1/cm]
fis38 5.3951e-05[1/cm]
fis41 1.0317e-10[1/cm]
fis42 3.1272e-11[1/cm]
fis43 2.3085e-10[1/cm]
fis44 8.3671e-10[1/cm]
fis45 8.8573e-10[1/cm]
fis46 3.2232e-09[1/cm]
fis47 4.6229e-09[1/cm]
fis48 9.8322e-09[1/cm]
fis51 9.864e-12[1/cm]
fis52 2.99e-12[1/cm]
fis53 2.2072e-11[1/cm]
fis54 8e-11[1/cm]
fis55 8.4687e-11[1/cm]
fis56 3.0818e-10[1/cm]
fis57 4.4201e-10[1/cm]
fis58 9.4008e-10[1/cm]
fis61 0[1/cm]
fis62 0[1/cm]
fis63 0[1/cm]
fis64 0[1/cm]
fis65 0[1/cm]
fis66 0[1/cm]
fis67 0[1/cm]
fis68 0[1/cm]
fis71 0[1/cm]
fis72 0[1/cm]
fis73 0[1/cm]
fis74 0[1/cm]
fis75 0[1/cm]
fis76 0[1/cm]
fis77 0[1/cm]
fis78 0[1/cm]
fis81 0[1/cm]
fis82 0[1/cm]
fis83 0[1/cm]
fis84 0[1/cm]
fis85 0[1/cm]
fis86 0[1/cm]
fis87 0[1/cm]
fis88 0[1/cm]
