% Model,RI_new.mph
% Version,COMSOL 5.3.1.229
% Date,"May 4 2018, 15:14"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp18","Temperature (degC), Tp218","Temperature (degC), Tp228","Temperature (degC), Tp238","Temperature (degC), Tp248","Temperature (degC), Tp38"
0,2.3600162404295656E8,763.6682015129624,659.8869968571685,1167.3110845173255,756.4070407748621,697.6189925979493,720.4532921784751,719.7198214826982,719.0065293175354,697.6189926047439,696.2227303922537
1,2.3606312762030792E8,763.6868146536707,659.8880424750793,1167.3713175294984,756.4065263114998,697.6219277955365,720.4640163512369,719.7302983756074,719.0167654073874,697.621999197167,696.2254695517997
2,2.3607068362734613E8,763.686761883329,659.889335404398,1167.4016081678228,756.4069384432731,697.6241121284728,720.4641194747894,719.7304664213809,719.0169970647047,697.6241522810137,696.2276535641025
3,2.3606148108800542E8,763.6976155220306,659.8911191870579,1167.4557630498211,756.4077098988649,697.6271909456752,720.4705005088263,719.7367424111874,719.0231706867027,697.6272501791643,696.2306070554877
4,2.3606845972345534E8,763.6971458123095,659.8938202909129,1167.4702877792279,756.4092887183184,697.6283277780772,720.4706395201353,719.7369131802149,719.023372348592,697.6283783999379,696.231771692372
5,2.3607948365264994E8,763.6938452653973,659.8967507249961,1167.4749049704874,756.4110693787376,697.6289791143417,720.469218025724,719.7355576439988,719.0220810204797,697.629014201448,696.2324891156446
6,2.3609050758181834E8,763.6905447185062,659.8996811591402,1167.479522161747,756.4128500391568,697.6296304506045,720.4677965313027,719.7342021078183,719.0207896922999,697.6296500029142,696.2332065389347
7,2.3617859272298226E8,763.6945546394801,659.9026025150819,1167.5037717877863,756.4141877415767,697.6318171443313,720.4705540524059,719.7369412981334,719.0235110616821,697.6318371848171,696.2353601529794
8,2.3631805200547692E8,763.7034382056389,659.905517818904,1167.54110970368,756.4152301386638,697.6350274097343,720.4760975838428,719.7424103061599,719.0289075626897,697.6350586203328,696.2384712275291
9,2.3645751128794733E8,763.7123217718257,659.9084331227169,1167.5784476195736,756.4162725357509,697.6382376751693,720.4816411152801,719.7478793142207,719.0343040636867,697.63828005583,696.2415823021146
