% Model,OC.mph,,,,,,,,,,,OC.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Apr 26 2018, 21:09",,,,,,,,,,,"Apr 27 2018, 12:04"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (degC)
0,2.36E+08,737.9152373,661.3264594,974.0081287,767.7110988,709.5591783,738.8473897,737.9066101,736.9917122,709.5591783,707.7682747,708.4201456
1,2.36E+08,737.9241851,661.3279889,974.0243832,767.7111871,709.561828,738.8565421,737.915556,737.0004572,709.5618916,707.7707746,708.4363343
2,2.36E+08,737.9250503,661.3298222,974.0359675,767.7114075,709.5640636,738.8573635,737.9164215,737.0013659,709.5641064,707.7730118,708.433443
3,2.36E+08,737.9298967,661.3318081,974.0512126,767.7117316,709.5668861,738.8622757,737.9212673,737.0061469,709.5669414,707.7757565,708.4280446
4,2.36E+08,737.9313694,661.3341664,974.0458376,767.712412,709.5686027,738.8637406,737.9227401,737.0076275,709.5686535,707.7774711,708.4248659
5,2.36E+08,737.9319987,661.3366179,974.0353074,767.7131814,709.5700429,738.8643436,737.9233696,737.0082829,709.5700848,707.778928,708.4222409
6,2.36E+08,737.932628,661.3390693,974.0247773,767.7139508,709.571483,738.8649466,737.9239992,737.0089382,709.5715161,707.7803849,708.4196139
7,2.37E+08,737.822286,660.9854569,973.6514647,767.7604351,709.3516349,738.7582267,737.8136239,736.8950074,709.3509563,707.5508749,708.4059166
8,2.38E+08,737.6379631,660.3944686,973.0362971,767.8443783,708.9842613,738.5799581,737.6292453,736.7046858,708.9824026,707.1673869,708.3849202
9,2.40E+08,737.4536402,659.8034802,972.4211295,767.9356179,708.6168877,738.4016896,737.4448668,736.5143642,708.6138489,706.7838988,708.3640242
10,2.41E+08,737.2693173,659.2124919,971.8059619,768.0268575,708.2495141,738.223421,737.2604882,736.3240426,708.2452952,706.4004108,708.343229
11,2.43E+08,737.0849944,658.6215035,971.1907943,768.1180971,707.8821405,738.0451525,737.0761097,736.133721,707.8767414,706.0169228,708.322535
12,2.45E+08,736.9006715,658.0305152,970.5756268,768.2093367,707.5147669,737.8668839,736.8917311,735.9433994,707.5081877,705.6334347,708.3019428
13,2.47E+08,736.6713062,657.2390168,969.8245627,768.3556927,707.0264528,737.6460753,736.6622871,735.705556,707.0184507,705.1232773,708.2864254
14,2.51E+08,736.2617711,655.6454783,968.5299127,768.7225144,706.054377,737.2551066,736.2525813,735.2776255,706.0439807,704.1064425,708.2913744
15,2.56E+08,735.8522361,654.0519397,967.2352626,769.0893361,705.0823012,736.8641379,735.8428754,734.849695,705.0695108,703.0896076,708.2972195
16,2.61E+08,735.4427011,652.4584012,965.9406126,769.4561578,704.1102254,736.4731691,735.4331695,734.4217645,704.0950408,702.0727727,708.3039683
17,2.66E+08,735.033166,650.8648627,964.6459626,769.8229795,703.1381495,736.0822004,735.0234636,733.993834,703.1205708,701.0559378,708.3116281
18,2.70E+08,734.6219096,649.2678673,963.361165,770.1937488,702.1622144,735.6895795,734.6120358,733.5641136,702.1422774,700.0352473,708.3228549
19,2.78E+08,734.1449701,647.5389683,962.4523152,770.715148,701.0390162,735.2339154,734.1348997,733.0660953,701.0180899,698.867435,708.4360335
20,2.85E+08,733.6680305,645.8100693,961.5434654,771.2365473,699.9158181,734.7782512,733.6577635,732.5680769,699.8939025,697.6996227,708.5500857
21,2.92E+08,733.191091,644.0811703,960.6346155,771.7579465,698.7926199,734.322587,733.1806274,732.0700585,698.769715,696.5318103,708.6650154
22,3.00E+08,732.7141514,642.3522713,959.7257657,772.2793458,697.6694217,733.8669229,732.7034913,731.5720402,697.6455276,695.363998,708.7808266
23,3.06E+08,733.0792323,640.9929603,962.9896711,773.2377615,697.048731,734.2643143,733.0682742,731.9051084,697.0275633,694.6916012,709.0193861
24,3.12E+08,733.4784468,639.6486315,966.4227308,774.213893,696.4484109,734.6962867,733.4671866,732.2718671,696.4301201,694.0392874,709.2628305
25,3.19E+08,733.8776613,638.3043028,969.8557905,775.1900244,695.8480907,735.1282592,733.8660991,732.6386258,695.832677,693.3869735,709.506202
26,3.25E+08,734.2768759,636.959974,973.2888502,776.1661559,695.2477706,735.5602316,734.2650115,733.0053845,695.2352338,692.7346597,709.7494997
27,3.31E+08,734.556583,635.7686379,977.6546641,777.2967148,694.7922403,735.8640762,734.5444945,733.2611783,694.7807859,692.2368446,710.0647226
28,3.37E+08,734.8224999,634.5949559,982.187078,778.4450934,694.3534177,736.1531358,734.8101964,733.5041676,694.3428386,691.7568574,710.3882764
29,3.44E+08,735.0884168,633.4212739,986.7194919,779.5934721,693.9145951,736.4421954,735.0758982,733.747157,693.9048913,691.2768702,710.7118579
30,3.50E+08,735.3543338,632.247592,991.2519058,780.7418508,693.4757725,736.731255,735.3416,733.9901463,693.466944,690.796883,711.0354673
31,3.54E+08,735.6830861,631.3205843,996.3418673,781.7016556,693.2537145,737.0780945,735.6701844,734.3009793,693.2455493,690.5425846,711.2669435
