% Model,OC.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 27 2018, 12:04"
% Table,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),Weighted average temperature (degC)
0,708.4201456398806
1,708.4363342766129
2,708.4334430357054
3,708.4280446443257
4,708.4248658529547
5,708.4222409379499
6,708.4196138555977
7,708.4059165845205
8,708.3849202010387
9,708.3640241953236
10,708.343229000498
11,708.3225350498678
12,708.3019427769437
13,708.2864253862364
14,708.2913744043492
15,708.2972195342877
16,708.3039682645542
17,708.3116280971846
18,708.3228548890507
19,708.4360335332041
20,708.5500857208549
21,708.6650154066535
22,708.7808265542261
23,709.0193860623306
24,709.2628305252334
25,709.5062020320281
26,709.7494997266795
27,710.0647226414181
28,710.3882763636153
29,710.7118579388037
30,711.0354673218433
31,711.2669435427409
32,711.4799117608176
33,711.6929810196935
34,711.9061513581129
35,712.1194228148869
36,712.3327954288646
37,712.546269238944
38,712.7598442840691
39,712.8542133622259
40,712.8981884692821
41,712.9421419309997
42,712.9860737747745
43,713.0299840280089
44,713.0738727180897
45,713.0336771638171
46,712.9443087385065
47,712.8549692454736
48,712.7656587387053
49,712.6763772721673
50,712.5871248998432
51,712.388281240761
52,712.1028122003937
53,711.8173187458708
54,711.5318009037458
55,711.2462587005642
56,710.9606921628717
57,710.5948437904475
58,710.1441975012799
59,709.6934863328777
60,709.2427102796083
61,708.7918693358408
62,708.3409621395729
63,707.8899895964237
64,707.4389521456194
65,706.9878497815225
66,706.5366824985
67,706.0969549409322
68,705.6694818507791
69,705.2421739669626
70,704.8150313515326
71,704.3880540666011
72,703.9612421743306
73,703.5345957369362
74,703.1081148166929
75,702.6817994759235
76,702.2556497770089
77,701.89487324814
78,701.6028247934591
79,701.3105520675109
80,701.018055065187
81,700.7253337813902
82,700.4323882110232
83,700.1392183489876
84,699.8458241902011
85,699.5522057295688
86,699.2583629620108
87,699.0255798014216
88,698.8574892794179
89,698.6894538208038
90,698.5214734590294
91,698.35354822756
92,698.185678159866
93,698.0178632894253
94,697.8501036497325
95,697.6823992742918
96,697.5147501966057
97,697.3808536637143
98,697.2826115348389
99,697.1844494664398
100,697.0863674670182
