% Model,OC.mph
% Version,COMSOL 5.3.1.201
% Date,"Feb 14 2018, 17:15"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
0,2.3598708755715713E8,718.6834036030159,670.652711669475,1333.517103617994,892.4723997332525,717.8573454104718,721.037353506212,720.0973315277715,719.1831743119627,717.8573444564357,716.0678724051684
1,2.3571622621280017E8,718.6653788636329,670.653544274574,1333.477706686012,892.4677529000893,717.841270600728,721.0156616238279,720.077157159433,719.1644930809804,717.8408509620884,716.0528397549249
2,2.357098471622394E8,718.6523858846069,670.6538658475905,1333.4386152577576,892.4644725553468,717.8280057859245,721.0027612881914,720.0642059991453,719.1514713812411,717.8276972197427,716.0401736334888
3,2.3568340119183153E8,718.6468378115886,670.6533894134793,1333.4129475427821,892.461371055215,717.8219528436794,720.9980354250952,720.0591337425849,719.1460618896269,717.8217981197948,716.0340448486526
4,2.3567154232519042E8,718.6388569612444,670.652908439836,1333.3744841771122,892.4585961212921,717.8140058549158,720.9898847598088,720.0510487024342,719.1380407501329,717.8138697784193,716.026291921758
5,2.3566333023451498E8,718.6302679165661,670.6524263312923,1333.332821898769,892.4559028289217,717.8055853544736,720.9808778939466,720.0422104663171,719.1293666986728,717.8054341267398,716.0181329593265
6,2.3565511814382064E8,718.6216788718947,670.6519442227241,1333.2911596204258,892.4532095365511,717.797164854063,720.9718710281452,720.0333722302399,719.1206926471771,717.7969984750041,716.0099739969014
7,2.3664174227864078E8,718.408674684231,670.2969314416994,1333.6286954042057,893.257289613149,717.5815947838005,720.7688553930852,719.826448544002,718.9099677339291,717.5807595127851,715.7844221376893
8,2.3829159056378445E8,718.0593937344845,669.705564879078,1334.2190298960682,894.5992186023919,717.2279250002493,720.4365005785946,719.4874678909873,718.564542246165,717.2259850102485,715.4139416806563
9,2.3994143884895748E8,717.7101127847551,669.1141983164142,1334.8093643879306,895.9411475916351,716.874255216734,720.1041457640023,719.1484872379342,718.2191167584047,716.8712105077072,715.0434612236577
10,2.4159128713410223E8,717.360831835021,668.5228317537274,1335.3996988797921,897.2830765808784,716.5205854332162,719.7717909494929,718.8095065849284,717.8736912706513,716.5164360051598,714.6729807665723
11,2.4324113541925272E8,717.0115508853075,667.9314651911324,1335.9900333716546,898.6250055701215,716.1669156496546,719.4394361349406,718.4705259319334,717.5282657828915,716.1616615026021,714.3025003095258
12,2.448909837044272E8,716.6622699355353,667.3400986284582,1336.580367863517,899.9669345593644,715.8132458661618,719.1070813204392,718.1315452789318,717.1828402951686,715.8068870000601,713.9320198524982
13,2.473288509782708E8,716.208855892826,666.5409348387444,1337.5651367991086,901.6975741463133,715.3528852023182,718.678590154787,717.6932564433114,716.7350216093328,715.34524435015,713.4481375971627
14,2.5291879420697367E8,715.3389094783353,664.910582140659,1340.1276435096183,904.9830561240843,714.4657610173082,717.8655535847845,716.8577348771364,715.8776301312886,714.4561291106503,712.5106481487229
15,2.5850873743564066E8,714.4689630637748,663.2802294425809,1342.690150220128,908.2685381018551,713.5786368322985,717.0525170147818,716.0222133110111,715.0202386532233,713.5670138711487,711.5731587002182
16,2.640986806643288E8,713.5990166492747,661.6498767445006,1345.2526569306378,911.554020079626,712.6915126472852,716.2394804447752,715.1866917448373,714.1628471752095,712.677898631707,710.6356692517705
17,2.6968862389299893E8,712.7290702347368,660.0195240464377,1347.8151636411471,914.8395020573972,711.8043884622472,715.426443874777,714.3511701786763,713.3054556971657,711.7887833922455,709.6981798032957
18,2.752785671216892E8,711.8591238201955,658.3891713483673,1350.377670351657,918.124984035168,710.9172642771825,714.613407304761,713.5156486125244,712.4480642191193,710.899668152747,708.760690354824
19,2.830555199469384E8,710.9399015796773,656.721237055956,1354.148082623497,920.7093968298642,709.9784920300707,713.7539351196278,712.6324378893219,711.5417663552597,709.9598837354281,707.7728943483608
20,2.9168671702692205E8,710.0014322397101,655.0386234219131,1358.3903018721621,923.0199725445763,709.0195460898597,712.8763252191848,711.7305998183058,710.616365695003,709.000307976555,706.76544863928
21,3.0031791410691196E8,709.0629628997272,653.356009787833,1362.6325211208273,925.3305482592883,708.0606001496452,711.9987153187313,710.8287617472763,709.690965034747,708.0407322176504,705.75800293026
22,3.0894911118690854E8,708.1244935597285,651.6733961538322,1366.8747403694924,927.6411239740006,707.1016542094166,711.1211054182902,709.9269236762439,708.765564374475,707.0811564587071,704.7505572212021
