% Model,oc.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:57"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31"
0,2.3598655502880314E8,745.655829223495,664.8533595422715,886.3498558890761,796.5497196023356,717.2997951438133,746.5879813713732,745.647201876253,744.7323044228682,717.2997951223574,715.5088917307697
1,2.355677926603354E8,745.5675036542071,664.8543928732332,886.2367149600419,796.5450920407926,717.2767364862541,746.4975343430932,745.5588948876132,744.6460817319278,717.2761566130962,715.48767791791
2,2.35512161908016E8,745.5683853758619,664.8540410666423,886.2384477147185,796.547970188776,717.2603873742755,746.4989660988496,745.5597730067316,744.6464170219939,717.2600843617299,715.4713728801527
3,2.3553920547256213E8,745.5207849402351,664.8534443686898,886.1773334454807,796.5489336713423,717.2378281686473,746.4505496781468,745.5121795415652,744.5996256009992,717.2373926835476,715.4498623425701
4,2.3551092274578944E8,745.5159418475589,664.8508868308501,886.1724465886097,796.5432706591238,717.2296783813615,746.4458131191715,745.5073354644866,744.5946769589732,717.2293086154529,715.4417554662776
5,2.354688084461853E8,745.5217880906023,664.8478390830026,886.1816165848296,796.5359510232089,717.2251309486356,746.4519965256517,745.5131787344483,744.6001890116825,717.2248764498553,715.4369995053115
6,2.3542669414658734E8,745.5276343336498,664.8447913351514,886.19078658105,796.528631387294,717.2205835159006,746.4581799320928,745.5190220043811,744.605701064416,717.220444284251,715.432243544339
7,2.362939128798636E8,745.4377358500402,664.5092034354957,886.4927781581817,796.5742570960537,717.0224495225083,746.3718570366519,745.4290906940475,744.5122598194224,717.0217369648375,715.2250621746037
8,2.377673536350057E8,745.284007548616,663.9519221012159,886.9899841225882,796.6551797012631,716.6952578220571,746.2238632732752,745.2753096634739,744.3528497092274,716.6935128762448,714.8829305323516
9,2.3924079439017338E8,745.1302792472518,663.3946407669496,887.4871900869942,796.7361023064724,716.3680661215869,746.0758695098516,745.1215286328608,744.1934395990082,716.3652887876594,714.5407988900627
10,2.407142351453331E8,744.9765509458473,662.8373594327213,887.9843960514007,796.8170249116819,716.0408744210911,745.927875746475,744.9677476023118,744.0340294888349,716.0370646990715,714.1986672477996
11,2.4218767590049225E8,744.8228226444811,662.2800780984714,888.4816020158072,796.8979475168913,715.7136827206431,745.7798819830887,744.8139665717226,743.8746193786288,715.7088406104878,713.8565356055576
