% Model,RI_cr.mph
% Version,COMSOL 5.3.1.201
% Date,"Feb 15 2018, 15:38"
% Table,Probe Table 3 - 
% Time (s),"Temperature (degC), TL_out","Temperature (degC), TL_in"
0,701.4457045426104,600.0000000000279
1,701.5128500112502,600.0000000000279
2,701.5444962575879,600.0000000000279
3,701.5750146551704,600.0000000000279
4,701.6187907749821,600.0000000000279
5,701.6625668947971,600.0000000000279
6,701.7386310110935,600.0000000000279
7,701.816360268886,600.0000000000279
8,701.9457559776761,600.0000000000279
9,702.116187491296,600.0000000000279
10,702.2866190049205,600.0000000000279
11,702.4570505185451,600.0000000000279
12,702.6274820321613,600.0000000000279
13,702.8736377796093,600.0000000000279
14,703.142400011795,600.0000000000279
15,703.4111622439808,600.0000000000279
16,703.6799244761662,600.0000000000279
17,703.948686708352,600.0000000000279
18,704.3158201161664,600.0000000000279
19,704.6846692860612,600.0000000000279
20,705.0535184559596,600.0000000000279
21,705.4223676258559,600.0000000000279
22,705.7931639668278,600.0000000000279
23,706.171967127159,600.0000000000279
24,706.550770287489,600.0000000000279
25,706.9295734478205,600.0000000000279
26,707.3083766081531,600.0000000000279
27,707.6723493556701,600.0000000000279
28,708.014837019852,600.0000000000279
29,708.3573246840331,600.0000000000279
30,708.6998123482168,600.0000000000279
31,709.0423000124005,600.0000000000279
32,709.3847876765807,600.0000000000279
33,709.7272753407618,600.0000000000279
34,710.0697630049456,600.0000000000279
35,710.4122506691255,600.0000000000279
36,710.7547383333111,600.0000000000279
37,711.0522133413222,600.0000000000279
38,711.3407223089818,600.0000000000279
39,711.6292312766396,600.0000000000279
40,711.9177402443021,600.0000000000279
41,712.2062492119616,600.0000000000279
42,712.4947581796231,600.0000000000279
43,712.7832671472784,600.0000000000279
44,713.0717761149405,600.0000000000279
45,713.360285082602,600.0000000000279
46,713.6353129040083,600.0000000000279
47,713.8718546604158,600.0000000000279
48,714.1083964168262,600.0000000000279
49,714.3449381732408,600.0000000000279
50,714.5814799296553,600.0000000000279
51,714.8180216860652,600.0000000000279
52,715.0545634424761,600.0000000000279
53,715.2911051988889,600.0000000000279
54,715.5276469553032,600.0000000000279
55,715.7641887117161,600.0000000000279
56,715.9858841014859,600.0000000000279
57,716.1651959861418,600.0000000000279
58,716.3445078707914,600.0000000000279
59,716.5238197554481,600.0000000000279
60,716.7031316401005,600.0000000000279
61,716.8824435247516,600.0000000000279
62,717.0617554094047,600.0000000000279
63,717.2410672940601,600.0000000000279
64,717.42037917871,600.0000000000279
65,717.5996910633656,600.0000000000279
66,717.759268445971,600.0000000000279
67,717.8625076423676,600.0000000000279
68,717.9657468387607,600.0000000000279
69,718.0689860351525,600.0000000000279
70,718.1722252315401,600.0000000000279
71,718.2754644279315,600.0000000000279
72,718.3787036243251,600.0000000000279
73,718.4819428207198,600.0000000000279
74,718.5851820171096,600.0000000000279
75,718.6884212134993,600.0000000000279
76,718.7853082499274,600.0000000000279
77,718.8640610983191,600.0000000000279
78,718.942813946699,600.0000000000279
79,719.0215667950883,600.0000000000279
80,719.100319643475,600.0000000000279
81,719.179072491863,600.0000000000279
82,719.2578253402456,600.0000000000279
83,719.3365781886292,600.0000000000279
84,719.4153310370184,600.0000000000279
85,719.4940838854058,600.0000000000279
86,719.5654023707003,600.0000000000279
87,719.6154971873463,600.0000000000279
88,719.6655920039958,600.0000000000279
89,719.7156868206467,600.0000000000279
90,719.7657816372889,600.0000000000279
91,719.8158764539413,600.0000000000279
92,719.8659712705892,600.0000000000279
93,719.9160660872357,600.0000000000279
94,719.9661609038847,600.0000000000279
95,720.0162557205332,600.0000000000279
96,720.0633324343739,600.0000000000279
97,720.1017930484765,600.0000000000279
98,720.1402536625776,600.0000000000279
99,720.1787142766822,600.0000000000279
100,720.2171748907839,600.0000000000279
