% Model,cr.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 27 2018, 10:35"
% Table,Table 4 - Global Evaluation 1 (ht_flibe.temp1.Tave)
% Time (s),Weighted average temperature (degC)
0,709.0434475802302
1,711.735343544508
2,712.0159855887953
3,712.3243406452044
4,712.6070662008264
5,712.9361755273464
6,713.2662084636158
7,713.6163475878634
8,713.9657421373595
9,714.4834804914593
10,715.0360156614743
11,715.5881252982291
12,716.1398098127264
13,716.7299223359126
14,717.3980559262158
15,718.065736921815
16,718.7329655456238
17,719.3997420203771
18,720.2148890197595
19,721.0591520617185
20,721.9031668707287
21,722.7469373153706
22,723.5904633067573
23,724.4337447559353
24,725.2767815738986
25,726.1195736715599
26,726.9621209597739
27,727.7352391079698
28,728.4951989037952
29,729.2549690401469
30,730.0145495324067
31,730.7739403959015
32,731.5331416458876
33,732.2921532975604
34,733.0509753660536
35,733.8096078664381
36,734.4045984755784
37,734.9706549965026
38,735.5366359828192
39,736.1025414341424
40,736.6683713500474
41,737.2341257301049
42,737.7997922503504
43,738.3653550783855
44,738.7649614146732
45,739.1112179964981
46,739.457461466503
47,739.8036918214439
48,740.1499090580731
49,740.4961131731466
50,740.8423041634123
51,741.1884820256232
52,741.5346467565266
53,741.8807983528732
54,742.1478647784413
55,742.3895097426707
56,742.6311558680961
57,742.8728031500087
58,743.1144515837016
59,743.3561011644656
60,743.5977518875902
61,743.8394037483841
62,744.0810567421304
63,744.3227108641325
64,744.4597982852432
65,744.5632747126289
66,744.6667584281483
67,744.7702494278315
68,744.8737477077075
69,744.9772532638139
70,745.080766092183
71,745.1842861888418
72,745.2878135498331
73,745.3913481711872
74,745.4397334236357
75,745.4703928436708
76,745.5010586383539
77,745.5317308044956
78,745.5624093388976
79,745.5930942383724
80,745.6237854997217
81,745.6544831197643
82,745.6851870953022
83,745.7158974231473
84,745.7128560158145
85,745.6989652663785
86,745.6850776811756
87,745.6711932589318
88,745.6573119983633
89,745.6434338981887
90,745.629558957132
91,745.6156871739125
92,745.6018185472503
93,745.5879530758648
94,745.5631892624783
95,745.5349222264874
96,745.5066564633967
97,745.478391972814
98,745.4501287543576
99,745.4218668076305
100,745.3936061322563
