% Model,cr.mph,,,,,,,,,,,cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Apr 27 2018, 12:09",,,,,,,,,,,"Apr 27 2018, 10:35"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.temp1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (degC)
0,2.40E+08,744.0281854,665.7550621,883.6135744,809.2776184,715.6632786,744.9604537,744.0195842,743.1045182,715.6632916,713.8723746,709.0434476
1,3.34E+08,759.4914429,665.9467146,907.2688479,814.8212354,719.664635,760.7975991,759.4793665,758.1973632,719.7563664,717.5014656,711.7353435
2,3.38E+08,763.6941917,666.4467139,920.7245358,817.022531,723.3233165,765.0187758,763.6819401,762.3818592,723.3992236,721.0649502,712.0159856
3,3.41E+08,766.970422,667.0837406,930.9534838,818.4475873,726.3545878,768.3035101,766.9580878,765.6496682,726.4173463,724.0302858,712.3243406
4,3.42E+08,769.4327285,667.8241978,937.9561873,819.5526328,728.8069198,770.7664974,769.4203843,768.1113038,728.8594894,726.4428633,712.6070662
5,3.41E+08,771.5163141,668.6351949,943.0623962,820.6120245,730.8276111,772.8523396,771.5039494,770.1926533,730.8743664,728.4373533,712.9361755
6,3.40E+08,773.535936,669.4495467,947.9016593,821.6771137,732.8077714,774.8734463,773.5235578,772.2108038,732.848783,730.3930535,713.2662085
7,3.39E+08,774.7736267,670.3049079,949.4776143,822.8118545,734.2924565,776.1031871,774.7613202,773.4563727,734.3285855,731.8745635,713.6163476
8,3.39E+08,776.0113174,671.160269,951.0535694,823.9465954,735.7771416,777.3329279,775.9990826,774.7019416,735.8083881,733.3560735,713.9657421
9,3.37E+08,776.9990132,671.9727775,951.3758562,825.2844556,736.9294283,778.3152909,776.9868277,775.6949209,736.9583186,734.5097182,714.4834805
10,3.35E+08,777.9345917,672.7763523,951.4367867,826.6646607,738.0124188,779.2460823,777.9224508,776.635242,738.0394795,735.5950119,715.0360157
11,3.33E+08,778.8701702,673.5799271,951.4977172,828.0448659,739.0954094,780.1768737,778.858074,777.5755631,739.1206405,736.6803055,715.5881253
