% Model,scaling_cr.mph,,,,,,,,,,,scaling_cr.mph
% Version,COMSOL 5.3.1.180,,,,,,,,,,,COMSOL 5.3.1.180
% Date,"Aug 7 2018, 11:36",,,,,,,,,,,"Aug 7 2018, 12:00"
% Table,Table 1 - ,,,,,,,,,,,Table 4 - Global Evaluation 1 (ht_flibe.ins1.Tave)
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp211","Temperature (degC), Tp221","Temperature (degC), Tp231","Temperature (degC), Tp241","Temperature (degC), Tp31",Weighted average temperature (K)
0,2.41E+08,746.2795268,668.5771732,919.8216611,843.6153407,717.9114555,747.2118355,746.270935,745.3558101,717.911473,716.1205513,981.8358135
1,3.26E+08,760.0258577,668.6977062,950.6292292,844.1739984,721.1710984,761.300636,760.0140711,758.762866,721.2453852,719.0023035,987.3105167
2,3.31E+08,763.2674631,669.0462107,961.8798924,846.8409549,724.1156503,764.5525306,763.2555733,761.9942853,724.1751738,721.8712754,988.8814546
3,3.31E+08,765.8021077,669.5615404,969.8755584,848.4331936,726.3812707,767.0962787,765.7901331,764.5199112,726.4329627,724.089954,989.5776472
4,3.32E+08,768.2625449,670.0968083,977.5063083,849.9159702,728.5665175,769.5659862,768.2504851,766.9711635,728.6113207,726.2315239,990.1740205
5,3.32E+08,769.7559825,670.729049,980.7038306,850.9744099,730.2086611,771.0547478,769.7439629,768.4692369,730.2474601,727.8599702,990.3096811
6,3.32E+08,771.2082993,671.3660496,983.6519361,852.047579,731.7948022,772.5028581,771.1963161,769.9257239,731.8281244,729.4335084,990.450044
7,3.31E+08,772.4056461,672.0325642,985.0535297,853.2120781,733.0336984,773.6989098,772.3936752,771.1243534,733.0648141,730.6665882,990.6238957
8,3.29E+08,773.6029929,672.6990788,986.4551233,854.3765773,734.2725947,774.8949614,773.5910343,772.322983,734.3015037,731.899668,990.7972957
9,3.28E+08,774.8003397,673.3655934,987.8567169,855.5410764,735.5114909,776.091013,774.7883934,773.5216125,735.5381933,733.1327478,990.9702448
10,3.26E+08,775.8273085,674.0420623,988.4563045,856.7466365,736.6365867,777.1148203,775.8153915,774.5517136,736.6613347,734.2565536,991.1809155
11,3.25E+08,776.5949857,674.73368,987.8353503,858.0146858,737.5884939,777.8764955,776.5831238,775.3253379,737.6116715,735.2140596,991.4492027
12,3.24E+08,777.362663,675.4252977,987.2143962,859.2827352,738.5404011,778.6381706,777.3508561,776.0989622,738.5620082,736.1715655,991.7164434
13,3.22E+08,778.1303402,676.1169154,986.593442,860.5507845,739.4923082,779.3998458,778.1185884,776.8725865,739.512345,737.1290715,991.9829711
