% Model,scaling.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 15 2018, 08:45"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp1","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp3"
0,2.351474271236602E8,636.0562615962847,617.913084460597,854.8254616166397,732.646595961542,634.2263171538448,640.411004802466,639.4702523804925,638.5552531932964,634.2263045917616,629.4484374557402
1,2.469568629902589E8,636.4508421649774,617.9164087524513,856.0898733847499,732.6450776607024,634.5091995276937,641.018457241424,640.0294062384457,639.067288921046,634.5145163810349,629.5661846802726
2,2.499887663523932E8,636.6851462076501,617.929720715176,856.8281979985746,732.6446251724072,634.7248091312379,641.3055925284941,640.3055267968025,639.3326962011176,634.7292348557002,629.7130177325826
3,2.5234088776789272E8,636.9014697161607,617.9541812091666,857.6481951343579,732.6461185531781,634.9219538075407,641.5694929678137,640.5592434234663,639.576507033716,634.9261743502066,629.8554467141387
4,2.546217104249934E8,637.115526333442,617.980370020327,858.4763992205948,732.6482429269745,635.1172544290729,641.8300068785367,640.8098099176169,639.817397704096,635.1212819651229,629.997407106169
5,2.563050550321449E8,637.3105865787213,618.0210419944816,859.3733769133152,732.6556549732466,635.2971020150804,642.0621419425213,641.0339785461099,640.0338176425977,635.3010385714335,630.1354407546766
6,2.5798839963930196E8,637.5056468240261,618.0617139687188,860.2703546060358,732.6630670195186,635.476949601036,642.2942770065231,641.2581471745456,640.250237581109,635.4807951777586,630.2734744032158
7,2.5967174424645433E8,637.7007070693265,618.1023859429479,861.1673322987562,732.6704790657907,635.6567971870485,642.5264120704996,641.4823158030206,640.4666575195794,635.6605517840857,630.4115080517596
8,2.6128738741379172E8,637.8868484654787,618.1459845585747,862.0471423231887,732.6798195932494,635.8293978437923,642.7458352736752,641.6946006191749,640.6719992426953,635.8330427424628,630.5462150712361
9,2.6265321490104663E8,638.0400796552369,618.2003823672678,862.8636043192736,732.6962761412894,635.9752576135738,642.9183522047379,641.8630346299507,640.8364627820312,635.9787237422969,630.668646958919
10,2.6401904238828817E8,638.1933108449689,618.2547801760218,863.6800663153582,732.7127326893295,636.1211173833191,643.0908691357885,642.0314686406864,641.0009263213564,636.1244047421545,630.7910788466229
11,2.653848698755044E8,638.346542034736,618.3091779847048,864.4965283114433,732.7291892373696,636.2669771531207,643.2633860668667,642.1999026514945,641.1653898606552,636.2700857420115,630.9135107343069
12,2.665934353903303E8,638.4976246385869,618.3668335908264,865.3092083032819,732.7522330037394,636.4106417608762,643.4333611090008,642.3658559104972,641.3274317443419,636.4136229831093,631.0348343235876
13,2.6746756118757817E8,638.644137972097,618.4314173615927,866.1138453308091,732.7892854169769,636.5496380476302,643.5979304666273,642.5265335018155,641.4843236364634,636.5526012195498,631.1538009604666
14,2.6834168698482513E8,638.7906513056042,618.4960011323166,866.9184823583365,732.8263378302147,636.6886343344655,643.7624998242615,642.6872110930472,641.6412155285988,636.6915794559918,631.2727675973339
15,2.692158127820807E8,638.9371646391381,618.5605849030713,867.7231193858637,732.8633902434524,636.8276306212375,643.9270691818635,642.8478886843367,641.7981074207055,636.8305576924237,631.3917342341927
16,2.70089938579343E8,639.0836779726593,618.6251686738349,868.5277564133911,732.9004426566898,636.9666269080363,644.0916385395258,643.0085662755838,641.9549993128436,636.969535928881,631.5107008710635
17,2.7096406437657887E8,639.2301913061867,618.6897524445733,869.3323934409183,732.9374950699276,637.1056231948288,644.2562078971503,643.1692438668591,642.1118912049702,637.1085141653277,631.629667507934
18,2.7183819017384183E8,639.3767046397153,618.7543362153116,870.1370304684457,733.1173198131621,637.244619481593,644.4207772547649,643.3299214581203,642.26878309705,637.2474924017292,631.7486341447798
19,2.7271231597107506E8,639.5232179732246,618.8189199860833,870.9416674959729,733.3707347421814,637.3836157684107,644.5853466124028,643.4905990493934,642.4256749891969,637.3864706381656,631.867600781684
20,2.7344296319717526E8,639.6587514723436,618.8856449642506,871.7072245565529,733.660507125366,637.513170431578,644.735427201619,643.637552931899,642.5695874896594,637.5159920421747,631.980778737026
21,2.740479254268027E8,639.7846668073107,618.954245606844,872.4385481739995,733.9821280728365,637.6344543793597,644.8728158550513,643.7724850590291,642.7021302449275,637.6372294080805,632.0888858974048
22,2.7465288765638953E8,639.9105821422706,619.0228462494616,873.1698717914459,734.3037490203072,637.7557383271394,645.010204508494,643.9074171861788,642.8346730001307,637.758466773939,632.1969930578342
23,2.752578498860243E8,640.0364974772266,619.0914468920175,873.9011954088927,734.625369967778,637.8770222749098,645.1475931619229,644.042349313319,642.9672157553771,637.8797041398001,632.3051002182548
24,2.758628121156426E8,640.1624128122406,619.1600475346372,874.6325190263393,734.9469909152485,637.9983062226472,645.2849818153566,644.1772814404201,643.0997585106188,638.0009415056778,632.4132073786386
25,2.7646777434525484E8,640.2883281472141,619.2286481772442,875.3638426437857,735.2686118627194,638.1195901704432,645.422370468798,644.3122135675461,643.2323012658588,638.1221788715851,632.5213145390601
26,2.770727365748716E8,640.4142434821898,619.2972488198318,876.0951662612327,735.5902328101901,638.2408741182018,645.5597591222393,644.4471456947318,643.3648440211076,638.2434162374353,632.6294216994708
27,2.776776988044994E8,640.540158817153,619.3658494624495,876.8264898786791,735.9118537576608,638.3621580659833,645.6971477756761,644.5820778218474,643.497386776326,638.3646536033041,632.7375288598947
28,2.7816816091316724E8,640.6497933411262,619.4333258877456,877.5040801956912,736.2765145000565,638.4685860456378,645.8148653218846,644.6980712128458,643.6117031387342,638.4710350196815,632.8344993080117
29,2.78619694252906E8,640.7538925702635,619.5004200916808,878.1634017875946,736.6558082945054,638.5699631612406,645.9258949102062,644.8076256439537,643.7198227301126,638.5723655783038,632.9276833977339
30,2.7907122759268314E8,640.8579917993771,619.5675142956217,878.8227233794979,737.0351020889541,638.6713402768653,646.0369244985178,644.9171800751101,643.8279423214807,638.6736961369023,633.0208674874756
31,2.7952276093241185E8,640.9620910285565,619.6346084995395,879.4820449714008,737.4143958834028,638.7727173924659,646.1479540868454,645.0267345062651,643.9360619128425,638.7750266955437,633.1140515771954
