% Model:              postProcessing.mph
% Version:            COMSOL 5.3.0.260
% Date:               Sep 2 2017, 13:17
% Dimension:          2
% Nodes:              4862
% Expressions:        1
% Description:        power density
% Length unit:        m
% r                       z                        Pdensity (W/m^3) @ t=0
0.01                      0.01                     0
0.03                      0.01                     0
0.05                      0.01                     0
0.06999999999999999       0.01                     0
0.09                      0.01                     0
0.11                      0.01                     0
0.13                      0.01                     0
0.15000000000000002       0.01                     0
0.17                      0.01                     0
0.19                      0.01                     0
0.21000000000000002       0.01                     0
0.23                      0.01                     0
0.25                      0.01                     0
0.27                      0.01                     0
0.29000000000000004       0.01                     0
0.31                      0.01                     0
0.33                      0.01                     0
0.35000000000000003       0.01                     0
0.37                      0.01                     0
0.39                      0.01                     0
0.41000000000000003       0.01                     0
0.43                      0.01                     0
0.45                      0.01                     0
0.47000000000000003       0.01                     0
0.49                      0.01                     0
0.51                      0.01                     0
0.53                      0.01                     0
0.55                      0.01                     0
0.5700000000000001        0.01                     0
0.59                      0.01                     0
0.61                      0.01                     0
0.63                      0.01                     0
0.65                      0.01                     0
0.67                      0.01                     0
0.01                      0.03                     0
0.03                      0.03                     0
0.05                      0.03                     0
0.06999999999999999       0.03                     0
0.09                      0.03                     0
0.11                      0.03                     0
0.13                      0.03                     0
0.15000000000000002       0.03                     0
0.17                      0.03                     0
0.19                      0.03                     0
0.21000000000000002       0.03                     0
0.23                      0.03                     0
0.25                      0.03                     0
0.27                      0.03                     0
0.29000000000000004       0.03                     0
0.31                      0.03                     0
0.33                      0.03                     0
0.35000000000000003       0.03                     0
0.37                      0.03                     0
0.39                      0.03                     0
0.41000000000000003       0.03                     0
0.43                      0.03                     0
0.45                      0.03                     0
0.47000000000000003       0.03                     0
0.49                      0.03                     0
0.51                      0.03                     0
0.53                      0.03                     0
0.55                      0.03                     0
0.5700000000000001        0.03                     0
0.59                      0.03                     0
0.61                      0.03                     0
0.63                      0.03                     0
0.65                      0.03                     0
0.67                      0.03                     0
0.01                      0.05                     0
0.03                      0.05                     0
0.05                      0.05                     0
0.06999999999999999       0.05                     0
0.09                      0.05                     0
0.11                      0.05                     0
0.13                      0.05                     0
0.15000000000000002       0.05                     0
0.17                      0.05                     0
0.19                      0.05                     0
0.21000000000000002       0.05                     0
0.23                      0.05                     0
0.25                      0.05                     0
0.27                      0.05                     0
0.29000000000000004       0.05                     0
0.31                      0.05                     0
0.33                      0.05                     0
0.35000000000000003       0.05                     0
0.37                      0.05                     0
0.39                      0.05                     0
0.41000000000000003       0.05                     0
0.43                      0.05                     0
0.45                      0.05                     0
0.47000000000000003       0.05                     0
0.49                      0.05                     0
0.51                      0.05                     0
0.53                      0.05                     0
0.55                      0.05                     0
0.5700000000000001        0.05                     0
0.59                      0.05                     0
0.61                      0.05                     0
0.63                      0.05                     0
0.65                      0.05                     0
0.67                      0.05                     0
0.01                      0.06999999999999999      0
0.03                      0.06999999999999999      0
0.05                      0.06999999999999999      0
0.06999999999999999       0.06999999999999999      0
0.09                      0.06999999999999999      0
0.11                      0.06999999999999999      0
0.13                      0.06999999999999999      0
0.15000000000000002       0.06999999999999999      0
0.17                      0.06999999999999999      0
0.19                      0.06999999999999999      0
0.21000000000000002       0.06999999999999999      0
0.23                      0.06999999999999999      0
0.25                      0.06999999999999999      0
0.27                      0.06999999999999999      0
0.29000000000000004       0.06999999999999999      0
0.31                      0.06999999999999999      0
0.33                      0.06999999999999999      0
0.35000000000000003       0.06999999999999999      0
0.37                      0.06999999999999999      0
0.39                      0.06999999999999999      0
0.41000000000000003       0.06999999999999999      0
0.43                      0.06999999999999999      0
0.45                      0.06999999999999999      0
0.47000000000000003       0.06999999999999999      0
0.49                      0.06999999999999999      0
0.51                      0.06999999999999999      0
0.53                      0.06999999999999999      0
0.55                      0.06999999999999999      0
0.5700000000000001        0.06999999999999999      0
0.59                      0.06999999999999999      0
0.61                      0.06999999999999999      0
0.63                      0.06999999999999999      0
0.65                      0.06999999999999999      0
0.67                      0.06999999999999999      0
0.01                      0.09                     0
0.03                      0.09                     0
0.05                      0.09                     0
0.06999999999999999       0.09                     0
0.09                      0.09                     0
0.11                      0.09                     0
0.13                      0.09                     0
0.15000000000000002       0.09                     0
0.17                      0.09                     0
0.19                      0.09                     0
0.21000000000000002       0.09                     0
0.23                      0.09                     0
0.25                      0.09                     0
0.27                      0.09                     0
0.29000000000000004       0.09                     0
0.31                      0.09                     0
0.33                      0.09                     0
0.35000000000000003       0.09                     0
0.37                      0.09                     0
0.39                      0.09                     0
0.41000000000000003       0.09                     0
0.43                      0.09                     0
0.45                      0.09                     0
0.47000000000000003       0.09                     0
0.49                      0.09                     0
0.51                      0.09                     0
0.53                      0.09                     0
0.55                      0.09                     0
0.5700000000000001        0.09                     0
0.59                      0.09                     0
0.61                      0.09                     0
0.63                      0.09                     0
0.65                      0.09                     0
0.67                      0.09                     0
0.01                      0.11                     0
0.03                      0.11                     0
0.05                      0.11                     0
0.06999999999999999       0.11                     0
0.09                      0.11                     0
0.11                      0.11                     0
0.13                      0.11                     0
0.15000000000000002       0.11                     0
0.17                      0.11                     0
0.19                      0.11                     0
0.21000000000000002       0.11                     0
0.23                      0.11                     0
0.25                      0.11                     0
0.27                      0.11                     0
0.29000000000000004       0.11                     0
0.31                      0.11                     0
0.33                      0.11                     0
0.35000000000000003       0.11                     0
0.37                      0.11                     0
0.39                      0.11                     0
0.41000000000000003       0.11                     0
0.43                      0.11                     0
0.45                      0.11                     0
0.47000000000000003       0.11                     0
0.49                      0.11                     0
0.51                      0.11                     0
0.53                      0.11                     0
0.55                      0.11                     0
0.5700000000000001        0.11                     0
0.59                      0.11                     0
0.61                      0.11                     0
0.63                      0.11                     0
0.65                      0.11                     0
0.67                      0.11                     0
0.01                      0.13                     0
0.03                      0.13                     0
0.05                      0.13                     0
0.06999999999999999       0.13                     0
0.09                      0.13                     0
0.11                      0.13                     0
0.13                      0.13                     0
0.15000000000000002       0.13                     0
0.17                      0.13                     0
0.19                      0.13                     0
0.21000000000000002       0.13                     0
0.23                      0.13                     0
0.25                      0.13                     0
0.27                      0.13                     0
0.29000000000000004       0.13                     0
0.31                      0.13                     0
0.33                      0.13                     0
0.35000000000000003       0.13                     0
0.37                      0.13                     0
0.39                      0.13                     0
0.41000000000000003       0.13                     0
0.43                      0.13                     0
0.45                      0.13                     0
0.47000000000000003       0.13                     0
0.49                      0.13                     0
0.51                      0.13                     0
0.53                      0.13                     0
0.55                      0.13                     0
0.5700000000000001        0.13                     0
0.59                      0.13                     0
0.61                      0.13                     0
0.63                      0.13                     0
0.65                      0.13                     0
0.67                      0.13                     0
0.01                      0.15000000000000002      0
0.03                      0.15000000000000002      0
0.05                      0.15000000000000002      0
0.06999999999999999       0.15000000000000002      0
0.09                      0.15000000000000002      0
0.11                      0.15000000000000002      0
0.13                      0.15000000000000002      0
0.15000000000000002       0.15000000000000002      0
0.17                      0.15000000000000002      0
0.19                      0.15000000000000002      0
0.21000000000000002       0.15000000000000002      0
0.23                      0.15000000000000002      0
0.25                      0.15000000000000002      0
0.27                      0.15000000000000002      0
0.29000000000000004       0.15000000000000002      0
0.31                      0.15000000000000002      0
0.33                      0.15000000000000002      0
0.35000000000000003       0.15000000000000002      0
0.37                      0.15000000000000002      0
0.39                      0.15000000000000002      0
0.41000000000000003       0.15000000000000002      0
0.43                      0.15000000000000002      0
0.45                      0.15000000000000002      0
0.47000000000000003       0.15000000000000002      0
0.49                      0.15000000000000002      0
0.51                      0.15000000000000002      0
0.53                      0.15000000000000002      0
0.55                      0.15000000000000002      0
0.5700000000000001        0.15000000000000002      0
0.59                      0.15000000000000002      0
0.61                      0.15000000000000002      0
0.63                      0.15000000000000002      0
0.65                      0.15000000000000002      0
0.67                      0.15000000000000002      0
0.01                      0.17                     0
0.03                      0.17                     0
0.05                      0.17                     0
0.06999999999999999       0.17                     0
0.09                      0.17                     0
0.11                      0.17                     0
0.13                      0.17                     0
0.15000000000000002       0.17                     0
0.17                      0.17                     0
0.19                      0.17                     0
0.21000000000000002       0.17                     0
0.23                      0.17                     0
0.25                      0.17                     0
0.27                      0.17                     0
0.29000000000000004       0.17                     0
0.31                      0.17                     0
0.33                      0.17                     0
0.35000000000000003       0.17                     0
0.37                      0.17                     0
0.39                      0.17                     0
0.41000000000000003       0.17                     0
0.43                      0.17                     0
0.45                      0.17                     0
0.47000000000000003       0.17                     0
0.49                      0.17                     0
0.51                      0.17                     0
0.53                      0.17                     0
0.55                      0.17                     0
0.5700000000000001        0.17                     0
0.59                      0.17                     0
0.61                      0.17                     0
0.63                      0.17                     0
0.65                      0.17                     0
0.67                      0.17                     0
0.01                      0.19                     0
0.03                      0.19                     0
0.05                      0.19                     0
0.06999999999999999       0.19                     0
0.09                      0.19                     0
0.11                      0.19                     0
0.13                      0.19                     0
0.15000000000000002       0.19                     0
0.17                      0.19                     0
0.19                      0.19                     0
0.21000000000000002       0.19                     0
0.23                      0.19                     0
0.25                      0.19                     0
0.27                      0.19                     0
0.29000000000000004       0.19                     0
0.31                      0.19                     0
0.33                      0.19                     0
0.35000000000000003       0.19                     0
0.37                      0.19                     0
0.39                      0.19                     0
0.41000000000000003       0.19                     0
0.43                      0.19                     0
0.45                      0.19                     0
0.47000000000000003       0.19                     0
0.49                      0.19                     0
0.51                      0.19                     0
0.53                      0.19                     0
0.55                      0.19                     0
0.5700000000000001        0.19                     0
0.59                      0.19                     0
0.61                      0.19                     0
0.63                      0.19                     0
0.65                      0.19                     0
0.67                      0.19                     0
0.01                      0.21000000000000002      0
0.03                      0.21000000000000002      0
0.05                      0.21000000000000002      0
0.06999999999999999       0.21000000000000002      0
0.09                      0.21000000000000002      0
0.11                      0.21000000000000002      0
0.13                      0.21000000000000002      0
0.15000000000000002       0.21000000000000002      0
0.17                      0.21000000000000002      0
0.19                      0.21000000000000002      0
0.21000000000000002       0.21000000000000002      0
0.23                      0.21000000000000002      0
0.25                      0.21000000000000002      0
0.27                      0.21000000000000002      0
0.29000000000000004       0.21000000000000002      0
0.31                      0.21000000000000002      0
0.33                      0.21000000000000002      0
0.35000000000000003       0.21000000000000002      0
0.37                      0.21000000000000002      0
0.39                      0.21000000000000002      0
0.41000000000000003       0.21000000000000002      0
0.43                      0.21000000000000002      0
0.45                      0.21000000000000002      0
0.47000000000000003       0.21000000000000002      0
0.49                      0.21000000000000002      0
0.51                      0.21000000000000002      0
0.53                      0.21000000000000002      0
0.55                      0.21000000000000002      0
0.5700000000000001        0.21000000000000002      0
0.59                      0.21000000000000002      0
0.61                      0.21000000000000002      0
0.63                      0.21000000000000002      0
0.65                      0.21000000000000002      0
0.67                      0.21000000000000002      0
0.01                      0.23                     0
0.03                      0.23                     0
0.05                      0.23                     0
0.06999999999999999       0.23                     0
0.09                      0.23                     0
0.11                      0.23                     0
0.13                      0.23                     0
0.15000000000000002       0.23                     0
0.17                      0.23                     0
0.19                      0.23                     0
0.21000000000000002       0.23                     0
0.23                      0.23                     0
0.25                      0.23                     0
0.27                      0.23                     0
0.29000000000000004       0.23                     0
0.31                      0.23                     0
0.33                      0.23                     0
0.35000000000000003       0.23                     0
0.37                      0.23                     0
0.39                      0.23                     0
0.41000000000000003       0.23                     0
0.43                      0.23                     0
