% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Flux21 (1/(m^2*s))       Flux22 (1/(m^2*s))       Flux23 (1/(m^2*s))       Flux24 (1/(m^2*s))       Flux25 (1/(m^2*s))       Flux26 (1/(m^2*s))       Flux27 (1/(m^2*s))       Flux28 (1/(m^2*s))       Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.01                      0.01                     0                        4.02590741128146E-5      0.002337395500025286     0.0014958688259807344    0.00426214918171759      0.01677896381212269      0.024726172032451164     0.0073274291806471326    5.615209508724829E-5     5.277650489833311E-5     3.3224198381037E-5       4.1741384360587795E-6    -2.3064223287598188E-6   2.0555616771774182E-5    9.488772713774015E-6     -1.5174172419126003E-6   1.0254768523038852E-8    2.099480992734388E-8     5.879149526595861E-9     5.7906178739162815E-9    3.983310702717005E-10    2.18779400873376E-11
0.03                      0.01                     0                        3.93161943953815E-5      0.0023004751007030598    0.0014779871003469526    0.004205770086327725     0.0168733467028521       0.02482935040429947      0.007350482428113064     5.615703433856974E-5     5.2785195770033726E-5    3.32303681116347E-5      4.175618407141191E-6     -2.3042590587288054E-6   2.0555962233140578E-5    9.485507173140277E-6     -1.5189597393574474E-6   -8.10943861392059E-9     -1.660262949224258E-8    -4.649212908207224E-9    -4.579202356415548E-9    -3.149989544014015E-10   -1.7301006038186182E-11
0.05                      0.01                     0                        3.818525039000253E-5     0.0022599471962858283    0.0014581140219907403    0.004146590593232063     0.016970100793051987     0.024936336718340626     0.00737450520353308      5.615660664433544E-5     5.278926814417022E-5     3.3233872860620634E-5    4.176914760584816E-6     -2.3021222746621376E-6   2.0555277096116826E-5    9.481746860847147E-6     -1.5203780650245701E-6   -3.2222538033903256E-8   -6.596990072262838E-8    -1.8473466154026955E-8   -1.8195281957156725E-8   -1.2516360591737395E-9   -6.874487268863156E-11
0.06999999999999999       0.01                     0                        3.486296025652338E-5     0.0021502656273481345    0.0014036974931558501    0.0039962227302571445    0.017206017896741074     0.025165500055850942     0.0074206222751034365    5.613542455486648E-5     5.278062251916788E-5     3.3233041087836785E-5    4.179821907122921E-6     -2.2951046933173327E-6   2.0546383217568318E-5    9.475788424916325E-6     -1.5211515045688461E-6   -5.648259568558349E-9    -1.1563804272691968E-8   -3.238197185433876E-9    -3.1894345289931966E-9   -2.193981535576876E-10   -1.2050226600534893E-11
0.09                      0.01                     0                        3.1383839256039584E-5    0.002035230492551861     0.0013468171302728092    0.0038378736876101076    0.017455562202490754     0.02540436534619946      0.007468107872172824     5.611692145057055E-5     5.2774904393292745E-5    3.323437775922085E-5     4.183162659179466E-6     -2.2875194742629316E-6   2.0537673131082717E-5    9.470325986978365E-6     -1.5218994486321935E-6   3.2047027989372137E-8    6.561057520328665E-8     1.8372844692616126E-8    1.8096175712229756E-8    1.244818635287043E-9     6.837043242405115E-11
0.11                      0.01                     0                        1.1956539187794719E-4    0.0018494885623200324    0.001229742854390379     0.003383966596160224     0.01823049450519609      0.026003153741557407     0.007552870298321807     2.8362821556330626E-5    9.018476842800137E-6     2.0890669440828202E-5    9.732590581608E-6        2.6932929363366306E-5    -3.2562505545661775E-5   -1.5435813498918623E-5   -3.2168321863534727E-7   -7.635498124554107E-9    -1.5632320853021043E-8   -4.377498632313665E-9    -4.311579712107928E-9    -2.965894484286133E-10   -1.628988212953547E-11
0.13                      0.01                     0                        1.2185817183393746E-4    0.001717878857971197     0.0011525680535269477    0.003296425716138105     0.018361560895097682     0.02622213487802412      0.007609001424763318     2.178821517669417E-5     6.636746890704791E-6     1.905668253187399E-5     9.383696548740876E-6     2.139047203081943E-5     -2.580221025298463E-5    -1.4708474964024539E-5   -1.0436529199923574E-6   -1.0421390106521755E-8   -2.1335937907673938E-8   -5.9746751546442415E-9   -5.884705021503154E-9    -4.0480323524841317E-10  -2.2233417347746392E-11
0.15000000000000002       0.01                     0                        1.2415095178992764E-4    0.001586269153622361     0.0010753932526635156    0.0032088848361159837    0.018492627284999272     0.02644111601449081      0.007665132551204824     1.5213608797057715E-5    4.255016938609445E-6     1.7222695622919766E-5    9.03480251587374E-6      1.584801469827255E-5     -1.9041914960307483E-5   -1.3981136429130441E-5   -1.7656226213493645E-6   -1.32072820884894E-8     -2.703955496232682E-8    -7.571851676974816E-9    -7.457830330898377E-9    -5.130170220682128E-10   -2.8176952565957316E-11
0.17                      0.01                     0                        1.2644373174591783E-4    0.0014546594492735256    9.982184518000843E-4     0.003121343956093864     0.018623693674900865     0.02666009715095751      0.007721263677646335     8.639002417421264E-6     1.8732869865140994E-6    1.5388708713965554E-5    8.685908483006612E-6     1.0305557365725673E-5    -1.2281619667630339E-5   -1.3253797894236354E-5   -2.4875923227063734E-6   -1.5993174070457046E-8   -3.2743172016979714E-8   -9.169028199305392E-9    -9.030955640293604E-9    -6.212308088880128E-10   -3.412048778416824E-11
0.19                      0.01                     0                        1.2668523799430848E-4    0.0013319889574964043    9.249754484815101E-4     0.003051406509174722     0.018748782195554918     0.026872314998528525     0.007779008584873336     4.102195566558662E-6     5.731490172210839E-7     1.427089751170447E-5     8.404077597074263E-6     7.505745075819023E-6     -9.950482952791107E-6    -1.2286130902037833E-5   -2.6965638955216166E-6   -6.941875182450653E-8    -1.4212251565451043E-7   -3.97983846255538E-8     -3.9199077404511325E-8   -2.696467077638832E-9    -1.4810078744754098E-10
