% Model,multiscale_OC.mph
% Version,COMSOL 5.3.1.180
% Date,"Jan 29 2018, 15:06"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp44"
0,1.0000004763753748E7,510.52473497020674,687.0067407978231,820.7108785048448,718.9603480812051,780.3383582395353,779.6109638347187,778.9033884940219,771.5891196388933,757.9171531104718,757.1897587056552,756.4821833649579,749.1679145099498,736.1068508389504,735.379456434134,734.6718810934316,727.3576122381414,706.8058539906419
0.1,1.0000560306752166E7,510.5250029531761,687.0067408001886,820.7115821007282,718.9603480812488,780.3388527334267,779.6114327416673,778.9038321519016,771.589298665797,757.9176400791642,757.1902197866681,756.4826188988721,749.168082308579,736.1073086059441,735.3798871994189,734.6722852092471,727.3577371932711,706.8058546300337
0.2,1.0000776468738688E7,510.5253226662594,687.0067408195308,820.7124066430812,718.960348081699,780.3394346272011,779.6119982441338,778.904381866602,771.589686810648,757.9181772332994,757.1907397371928,756.4831222670626,749.1684158322785,736.1077412065112,735.3803011020958,734.6726810763853,727.3579481117154,706.8058572112894
0.30000000000000004,1.0000871176971192E7,510.52560182882587,687.0067408942516,820.7131659533974,718.960348084908,780.3399705502694,779.6125265746733,778.9049028880917,771.5901330359576,757.9186202033785,757.1911744078544,756.4835489413134,749.1687605918288,736.1080394372825,735.3805903657152,734.6729616998044,727.3581401508233,706.8058622430442
0.4,1.0000939838124193E7,510.5258687244137,687.0067409859046,820.7139061467279,718.9603480889979,780.340492963944,779.6130433301367,778.9054141861667,771.5905883890497,757.9190366288248,757.1915845286836,756.4839529774177,749.1691022131266,736.1083027153378,735.3808469222032,734.6732117720263,727.3583237395893,706.8058679485243
0.5,1.0000976323383208E7,510.52608468648225,687.0067412355191,820.7145373865529,718.9603481101146,780.3409384990165,779.6134855699505,778.9058532392934,771.5909946899613,757.9193604848966,757.191904830633,756.4842698424039,749.1693837543708,736.108487817988,735.3810284557162,734.6733898566936,727.3584664052889,706.8058762239798
0.6000000000000001,1.0001002083344221E7,510.52628367071077,687.0067415377893,820.7151323085426,718.9603481369072,780.3413584078893,779.613902971212,778.9062682107666,771.5913846401489,757.9196534845131,757.1921951929554,756.4845576503477,749.1696452689316,736.1086468621719,735.3811849815731,734.6735439455105,727.3585954299656,706.8058853560938
0.7000000000000001,1.0001027843305245E7,510.5264826549387,687.0067418400595,820.7157272305323,718.9603481636998,780.3417783167598,779.6143203724738,778.9066831822414,771.5917745903326,757.9199464841262,757.1924855552787,756.4848454582908,749.1699067834924,736.1088059063558,735.381341507429,734.6736980343271,727.3587244546432,706.8058944882087
0.8,1.0001053603266273E7,510.5266816391676,687.0067421423292,820.7163221525221,718.9603481904923,780.3421982256306,779.6147377737358,778.9070981537162,771.5921645405193,757.9202394837415,757.1927759176004,756.4851332662371,749.1701682980545,736.1089649505385,735.3814980332854,734.6738521231446,727.3588534793206,706.8059036203234
0.9,1.0001071605829567E7,510.52683380969063,687.0067428139955,820.7167838447511,718.9603482998177,780.3425242650484,779.6150620069778,778.9074206341423,771.5924689436923,757.9204591846238,757.1929938339186,756.4853494514904,749.1703666383576,736.1090826238669,735.3816140596663,734.6739665528838,727.3589514590731,706.8059151109956
