% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 1 2018, 14:13"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp44"
0,1.0000000202685708E7,464.13329254129314,674.7127590284773,709.1561732628289,680.4776171453393,698.8061954287364,698.078659471891,697.3709464367821,690.0552542545447,694.7384776525491,694.0109416957048,693.3032286605973,685.9875364783917,690.7815915822804,690.0540556254339,689.3463425903263,682.0306504082895,678.302092916454
0.1,1.000004077013577E7,464.13330768368155,674.7127670552617,709.1562161831896,680.4776172734977,698.8062255806018,698.0786874752415,697.37097232162,690.055257950116,694.7385075121387,694.0109693985792,693.3032542368649,685.987539780478,690.7816206992155,690.0540825640508,689.346367381004,682.0306527008418,678.3020930218238
0.2,1.0000058369246125E7,464.1333200696331,674.7127749812832,709.1562507511508,680.4776175626523,698.8062499716899,698.0787104042216,697.3709938377694,690.0552649594248,694.738530816101,694.0109912248741,693.3032746351167,685.9875455138977,690.781642070951,690.0541024342974,689.346385800036,682.0306562155819,678.3020932998003
0.30000000000000004,1.0000066631974377E7,464.13332849165965,674.712782798188,709.1562744466688,680.4776180337498,698.8062666876139,698.0787263928596,697.3710091248472,690.0552730541633,694.7385456715733,694.0110053402766,693.3032880365471,685.9875515949128,690.78165439352,690.0541140068681,689.3463966490868,682.0306596466686,678.302093759274
0.4,1.0000073616687665E7,464.13333608633934,674.7127905467459,709.1562958837598,680.4776186208056,698.8062818047813,698.0787408973869,697.3710230382017,690.0552809048274,694.7385588592813,694.0110179053307,693.3033000007109,685.9875573962008,690.7816651373124,690.0541241211104,689.3464061558252,682.030662923099,678.3020943236968
0.5,1.000007676735607E7,464.1333411989781,674.712798090271,709.1563105455691,680.4776195557367,698.8062921256809,698.0787509495784,697.3710328303899,690.0552880232708,694.7385670437021,694.0110258193317,693.3033076530787,685.9875623583024,690.7816711447753,690.0541298603596,689.3464116356246,682.0306657355669,678.3020952029705
0.6000000000000001,1.0000079918024471E7,464.1333463116175,674.712805633798,709.1563252073785,680.4776204906676,698.8063024465804,698.0787610017697,697.3710426225775,690.0552951417145,694.7385752281238,694.0110337333341,693.3033153054449,685.9875673204058,690.781677152237,690.0541355996091,689.3464171154216,682.0306685480341,678.3020960822431
0.7000000000000001,1.0000083068692852E7,464.13335142425626,674.7128131773243,709.156339869188,680.4776214255987,698.8063127674793,698.0787710539618,697.3710524147662,690.0553022601581,694.7385834125445,694.0110416473358,693.3033229578141,685.9875722825093,690.7816831596995,690.0541413388588,689.3464225952193,682.0306713605013,678.3020969615159
0.8,1.0000085897692377E7,464.13335619744896,674.7128206113154,709.1563534524211,680.4776225432089,698.8063223087021,698.0787803563524,697.3710614859488,690.0553089524343,694.7385909752737,694.0110489703981,693.3033300488806,685.9875769869258,690.7816887493398,690.054146691174,689.3464277178467,682.0306741204259,678.3020979929364
0.9,1.0000087761685226E7,464.1333599523034,674.7128277167002,709.1563637999257,680.4776242088575,698.8063295108943,698.0787874093425,697.37106839412,690.0553143662114,694.7385966729263,694.0110545206359,693.3033354560463,685.987580918288,690.7816930855173,690.0541508826848,689.3464317689634,682.0306767227294,678.3020994808028
1,1.0000089625678081E7,464.13336370715797,674.7128348220853,709.15637414743,680.477625874506,698.8063367130854,698.0787944623323,697.371075302292,690.0553197799884,694.738602370578,694.0110600708742,693.3033408632131,685.9875848496507,690.7816974216942,690.0541550741963,689.3464358200819,682.0306793250314,678.3021009686674
1.1,1.0000091489670934E7,464.1333674620122,674.7128419274686,709.1563844949346,680.4776275401546,698.8063439152771,698.0788015153215,697.3710822104619,690.0553251937658,694.73860806823,694.0110656211103,693.3033462703805,685.9875887810131,690.7817017578723,690.0541592657065,689.3464398711984,682.0306819273344,678.3021024565322
1.2000000000000002,1.0000093353663778E7,464.13337121686607,674.7128490328537,709.1563948424392,680.477629205803,698.8063511174697,698.0788085683112,697.3710891186331,690.0553306075412,694.7386137658832,694.0110711713481,693.3033516775462,685.9875927123752,690.78170609405,690.0541634572171,689.3464439223153,682.0306845296362,678.3021039443983
1.3,1.0000095217656625E7,464.13337497171995,674.7128561382383,709.1564051899437,680.4776308714517,698.8063583196607,698.0788156213001,697.3710960268037,690.0553360213183,694.7386194635341,694.0110767215848,693.3033570847132,685.9875966437377,690.781710430227,690.0541676487275,689.3464479734328,682.0306871319383,678.302105432263
1.4000000000000001,1.0000097081649475E7,464.13337872657405,674.712863243624,709.1564155374481,680.4776325371,698.8063655218527,698.0788226742902,697.3711029349756,690.0553414350953,694.738625161187,694.0110822718226,693.3033624918783,685.9876005750996,690.7817147664034,690.0541718402383,689.34645202455,682.0306897342406,678.3021069201272
1.5,1.0000098945642315E7,464.1333824814285,674.7128703490074,709.1564258849527,680.4776342027486,698.8063727240446,698.0788297272796,697.3711098431461,690.0553468488722,694.7386308588385,694.0110878220603,693.3033678990454,685.9876045064614,690.7817191025817,690.0541760317494,689.3464560756668,682.0306923365429,678.3021084079938
