% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 13 2018, 23:19"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
0,1.0000001140103169E7,701.6432983778172,683.3470991497163,718.8325598941024,707.5017760033822,703.2623659843977,703.2509501562396,703.2398483894757,703.1527858325434,701.9429246014416,701.931508773284,701.9204070065214,701.8333444495545,700.659782438848,700.648366610683,700.6372648439109,700.5502022869498,698.3331275377666
1,1.0000528394100523E7,701.6434571406885,683.3473218541511,718.8327193354552,707.5017836238341,703.2625468596254,703.2511304373671,703.2400280928886,703.1529610057509,701.9430900347862,701.9316736117743,701.9205712665657,701.8335041736925,700.6599305537359,700.6485141300793,700.6374117842438,700.5503446864542,698.3332361919845
2,1.0000627225206275E7,701.6436537414594,683.3475351345343,718.8328848274059,707.5018021713372,703.2627522775704,703.2513357432914,703.2402332898774,703.1531653484619,701.9432875805761,701.9318710460441,701.9207685923864,701.833700648968,700.6601219723717,700.6487054376481,700.637602983802,700.5505350383072,698.3334186796573
3,1.0000704211635135E7,701.6438788888184,683.3477416680741,718.8330586564472,707.5018326303945,703.2629818021676,703.2515651810436,703.240462643175,703.1533940394534,701.9435135202809,701.9320968990268,701.9209943610296,701.8339257562632,700.6603447926058,700.648928171231,700.6378256331194,700.5507570281947,698.3336357270462
4,1.000076949230653E7,701.6441252684617,683.3479431491755,718.8332440135239,707.5018745904057,703.2632320845058,703.2518153897466,703.2407127802686,703.1536436149495,701.9437607752755,701.9323440803787,701.9212414707657,701.8341723043924,700.6605890858332,700.6491723907989,700.6380697810541,700.5510006136395,698.3338741183871
5,1.0000823035202235E7,701.6443903517763,683.3481387425147,718.8334491359869,707.5019349041953,703.263501738771,703.2520849834387,703.2409823150526,703.1539126877703,701.944026818642,701.9326100631557,701.9215073946191,701.834437766164,700.6608515664685,700.6494348108284,700.6383321421423,700.5512625130465,698.3341297729994
6,1.0000869829826668E7,701.6446598631936,683.3483297534832,718.8336703212245,707.5020124319462,703.263776003594,703.2523591952216,703.2412564752545,703.1541864434668,701.9442972895628,701.9328804810237,701.9217777608967,701.834707727846,700.6611183103054,700.6497015016001,700.638598781311,700.5515287477394,698.3343895037086
7,1.0000906502044141E7,701.6449360167671,683.3485138908982,718.8339156006242,707.5021157806391,703.2640571842535,703.2526403341419,703.2415375735858,703.1544672234784,701.9445744018158,701.9331575515316,701.922054790808,701.8349844393913,700.6613914489441,700.64997459849,700.6388718375988,700.551801485362,698.3346553485633
8,1.0000943174261622E7,701.6452121703381,683.3486980283141,718.8341608800235,707.5022191293318,703.2643383649119,703.2529214730627,703.2418186719165,703.1547480034911,701.9448515140687,701.9334346220404,701.9223318207197,701.8352611509381,700.6616645875828,700.6502476953792,700.6391448938875,700.5520742229844,698.3349211934155
9,1.0000979481642522E7,701.6454884535798,683.3488818970931,718.8344071095961,707.5023235233243,703.2646196813018,703.2532027481207,703.2420999067793,703.1550289231476,701.9451287551625,701.933711821797,701.9226089802762,701.8355379952426,700.6619378494136,700.650520915868,700.6394180741746,700.5523470877728,698.3351871574762
10,1.0001012436720744E7,701.6457655358535,683.3490632034295,718.8346623216547,707.5024379527998,703.2649018342067,703.2534848634427,703.2423819855545,703.1553107153062,701.9454067849462,701.9339898139972,701.9228869359274,701.835815664261,700.6622118627232,700.650794891594,700.6396920133468,700.5526207403018,698.3354538604787
11,1.984194883999051E8,729.3961314921794,683.5056379842074,763.7455904918814,707.5081975337633,738.299561407384,738.0764137767208,737.8593989198357,736.1574713798184,732.3530506407434,732.1294209824508,731.911937346522,730.2063334381271,725.0930481393543,724.8688706821969,724.6508543071321,722.9410724633681,707.6022759146779
12,3.048558998498812E8,801.6216973315403,685.1677513862265,886.2414895857206,707.9961117475569,825.732846892469,825.3884342508737,825.0534975576048,822.4268546476184,807.2915721726991,806.9467417035349,806.6113986907916,803.981569415606,788.0772557330303,787.7321011506536,787.3964429554602,784.7641420078941,749.6792081317822
13,2.5827276338824558E8,853.1520297180808,689.4438702530948,964.4350319111567,711.3597778327209,880.9746309802043,880.6818014528302,880.3970289068487,878.1637856156764,858.646593567293,858.3537304809955,858.0689253024769,855.8354261253959,836.82998555396,836.5371090677337,836.2522908593509,834.0186895143175,796.216388907966
14,2.293222716833452E8,886.7007900726054,695.6259151128816,1011.6391003938107,719.4885799264209,914.3295430812219,914.0691548973551,913.8159308180271,911.83009477097,891.9930295390378,891.7326534722473,891.4794411768017,889.4936973927446,870.3081509344837,870.0477875753005,869.7945876379091,867.808938842964,830.407260804804
15,2.1079301559527567E8,910.6222907366342,702.91087014259,1044.8841753057623,731.1665224741222,937.8057493458981,937.5661719741423,937.3331860132274,935.506060570396,915.7743400730561,915.534777311579,915.3018055589665,913.4747914085204,894.3938081636696,894.1542598518405,893.9213021513459,892.0943978857057,855.2291292678907
15.999999999999972,1.973310388701193E8,928.1466470930228,710.7472147684558,1069.0434016946933,745.6921329760164,954.8400204480964,954.6155833020586,954.3973209527406,952.6856606976199,933.1682587216286,932.9438386875523,932.7255929794734,931.0140632692827,912.1451485529016,911.920745417399,911.7025161430098,909.9911164273752,873.756546610157
17,1.8661609301141202E8,941.9696890624131,718.7487948600865,1087.932010963208,760.9072091316301,968.1333754325825,967.9210067501341,967.7144807932697,966.094859548131,946.864542376081,946.6521928227286,946.445685468747,944.8262101132246,926.2394554226008,926.027124770162,925.8206357971511,924.2013046816097,888.6650838349582
18,1.7767075085529208E8,952.8322282871526,726.7255442058529,1102.5839220191488,776.4893797731032,978.4185109579015,978.216234813413,978.0195237034042,976.4768724312504,957.5986218674403,957.3963668278506,957.199676242159,955.6571859288391,937.4161823763512,937.2139480942539,937.0172776950272,935.4749457009003,900.713621094197
19,1.6991585198973176E8,961.537210980565,734.5229996985361,1114.148506560311,792.1215487262604,986.5081492122796,986.314637379992,986.126449442001,984.6506386147279,966.1740920643305,965.9806026506791,965.7924365145888,964.3167966696773,946.4681448397449,946.2746773576104,946.0865325496953,944.6110599398772,910.6795255121443
20,1.6303837527109665E8,968.6454081904566,742.0399346193459,1123.4573394404952,807.5987812419202,992.9812378059938,992.795510357644,992.6148926281513,991.1984489371879,973.1537175752661,972.9680131425267,972.7874177954656,971.3711496431196,953.9422010355191,953.7565190250215,953.5759454833491,952.1598484740115,919.0854045726827
21,1.5685486977504134E8,974.5359409455817,749.2056986527496,1131.089741610393,822.7774131508876,998.2331231532656,998.0544035182508,997.8806007943818,996.5176017940854,978.9184461125839,978.7397494971923,978.5659691596469,977.2031457180079,960.2056762823194,960.0270020243362,959.8532434291218,958.4905904976964,926.2776803116875
22,1.5125377228998527E8,979.4773627648573,755.9694026291235,1137.466908320357,837.5751097215337,1002.5458354565927,1002.3734702468593,1002.2058471182362,1000.8913097955325,983.7384449104735,983.5661022628957,983.3985010757034,982.0841358225508,965.5176037092893,965.345282914327,965.1777029785475,963.8635043836592,932.497975268477
23,1.4615447514825588E8,983.6833152371322,762.3064089227765,1142.914637622715,851.9634930164522,1006.1433472145085,1005.9767719574457,1005.814779482229,1004.5443989232114,987.8285808880727,987.6620273894767,987.5000560741065,986.2298414552278,970.0843485210379,969.9178160526943,969.7558651889937,968.4858109562393,937.9394539794808
24,1.4150467393100294E8,987.2977042379272,768.1978487899968,1147.632622758325,865.9156460084424,1009.1771593620682,1009.0158671555279,1008.8590123781313,1007.6289227227288,991.3336538154978,991.1723823223416,991.0155476884596,989.7856160045075,974.0445148379246,973.8832633316437,973.7264481347544,972.4966688622573,942.7310984772147
25,1.372565386274835E8,990.4421176243826,773.6490263202792,1151.7561521293323,879.4172006267039,1011.7732387820078,1011.616775701765,1011.4646171868568,1010.2713566110561,994.3756819794265,994.2192384012968,994.067098851957,992.8739870326384,977.5165106366043,977.3600858513092,977.2079645777484,976.014997273052,946.9859762312673
26,1.3339230365661795E8,993.1753578747515,778.6369612380407,1155.3087647237935,892.3670110188592,1013.995227668301,1013.8431590460424,1013.6952740840348,1012.5355276036031,997.0140747033798,996.8620242827466,996.7141570215887,995.5545493947708,980.5558673883296,980.4038344818483,980.2559842529876,979.0965104686137,950.7534619755135
27,1.2984800855148189E8,995.605859202332,783.2293695451409,1158.3852172672837,904.8295364502459,1015.9486614079918,1015.8006245619925,1015.6566604495571,1014.5276620882806,999.3565401283871,999.2085201130493,999.0645723682165,997.9357023636961,983.2724605541881,983.1244567166774,982.9805247045723,981.8517780518581,954.1480061218355
28,1.266537560903613E8,997.7218151976721,787.356117509842,1160.8833101921218,916.5008058084437,1017.6293321590989,1017.484929704625,1017.3444999902002,1016.2432191159531,1001.3925096753775,1001.2481226773338,1001.1077079940893,1000.0065449863013,985.6497433538333,985.5053711982263,985.3649709490556,984.2639208457907,957.1427249198654
28.999999999999865,1.2373518330581929E8,999.6105569207808,791.1112374527537,1162.9030789489693,927.4852872688679,1019.1171755820661,1018.9760943618281,1018.8388945035643,1017.7629428323434,1003.207850263513,1003.0667831218819,1002.9295969548806,1001.8537526542412,987.7793489743561,987.6382953342317,987.5011222972649,986.425380999112,959.8400020908749
30,1.2109680052527109E8,1001.280520255354,794.4800448220138,1164.410252467926,937.6244760945364,1020.4230274673256,1020.2849489534939,1020.1506691871326,1019.0976174813956,1004.8113636876805,1004.6732978958647,1004.5390305014952,1003.486075819554,989.6681778788837,989.5301242747188,989.395868732675,988.3430070031583,962.243554436225
31,1.1874701253567429E8,1002.7349130729878,797.441033932283,1165.3641098605476,947.4237890857056,1021.55279739852,1021.4173933000715,1021.2857143667223,1020.2530589808922,1006.2066915654694,1006.0712988774231,1005.9396310405172,1004.9070628747248,991.3177325642422,991.1823507940138,991.0506935743919,990.0182094049741,964.3512352068559
32,1.1663151160949026E8,1004.022827473262,800.0708247238757,1170.4951204097683,958.5933112049426,1022.5486250202806,1022.4156287568077,1022.286291410146,1021.2719991763109,1007.4416103342934,1007.3086242079195,1007.1792967194461,1006.1650817955896,992.7812691139571,992.6482926736609,992.5189746047646,991.5048335502019,966.2262297890262
33,1.1475759640937072E8,1005.1442849651409,802.3565557472472,1175.6608646124882,969.2099860937591,1023.4123141695114,1023.2814507540123,1023.1541875726281,1022.1561613642833,1008.5164341666613,1008.3855796687463,1008.2583251595889,1007.2603669275856,994.0576823544415,993.9268363645832,993.7995901293931,992.8016960913491,967.8650798240457
34,1.131108863053327E8,1006.1141091025619,804.319253183444,1180.5607575489853,979.2628644520781,1024.1569613991146,1024.0279721687857,1023.9025316063052,1022.918798745481,1009.4456425553652,1009.3166610840402,1009.1912280670778,1008.2075543806653,995.1628239022947,995.0338498206969,994.9084239901389,993.9248066482447,969.2861639650938
35,1.1167696254978128E8,1006.9459637101469,805.9816706594066,1185.1441573140942,988.7424380658496,1024.794329485885,1024.666972167894,1024.543118616979,1023.5718314233101,1010.2425335791742,1010.1151829250745,1009.9913358547004,1009.0200995795777,996.111493297875,995.9841489776126,995.8603080667875,994.8891235027228,970.5070507543195
36,1.104452853943663E8,1007.6504874605292,807.362507539014,1189.364244586283,997.6012343722088,1025.3335628410346,1025.2076071560923,1025.0851166729963,1024.1245189225774,1010.9174600745952,1010.7915100253887,1010.6690250229607,1009.7084702531037,996.9152293158089,996.7892846097915,996.6668048035391,995.7062907876103,971.5414565013901
