% Model,RI.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 14 2018, 13:46"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp","Temperature (degC), Tp11","Temperature (degC), Tp12","Temperature (degC), Tp13","Temperature (degC), Tp14","Temperature (degC), Tp21","Temperature (degC), Tp22","Temperature (degC), Tp23","Temperature (degC), Tp24","Temperature (degC), Tp31","Temperature (degC), Tp32","Temperature (degC), Tp33","Temperature (degC), Tp34","Temperature (degC), Tp4"
0,1.0000001298833322E7,716.9642707964479,683.3464709723519,761.2842744658386,707.4974806597445,736.3955470242166,735.7660748733113,735.1539201631049,734.0337672845154,719.4195224114623,718.7900502605569,718.1778955503506,717.0577426717593,702.9105260934051,702.2810539425001,701.6688992322787,700.5487463534342,698.3317744929303
1,1.0000592045462472E7,716.964524161322,683.3466944842024,761.2847495211955,707.4974871473482,736.3959165512064,735.7664073163526,735.1542166116762,734.0339979956318,719.4198721058635,718.7903627837251,718.1781719940442,717.057953239205,702.9107940546594,702.281284466673,701.6690934191462,700.5488735121373,698.3318700468669
2,1.0000701939278543E7,716.9647860418355,683.3469047450725,761.2851754578888,707.4975103497676,736.3962512424284,735.7667356418268,735.1545386837032,734.0343085121212,719.4201591286238,718.7906434050332,718.1784463272533,717.0582159415058,702.9110091725371,702.2814932545002,701.6692959879487,700.5490650184162,698.3320562279697
3,1.0000785104634646E7,716.9650726200011,683.347108766283,761.2856250490776,707.497544669413,736.3966070766584,735.7670863709037,735.1548844378648,734.0346451451712,719.4204613254378,718.7909404883495,718.1787384275708,717.0584989019169,702.9112532802463,702.2817322907138,701.6695300817807,700.5492902453763,698.3322759880288
4,1.000084579863358E7,716.9653844040747,683.3473031741065,761.2861005421413,707.4976095393117,736.3969851344208,735.7674606516582,735.1552550439771,734.0350090245854,719.4207848382495,718.7912602217791,718.1790544840607,717.058808226705,702.9115220620872,702.2819973041759,701.6697914289467,700.5495449200366,698.3325239122844
5,1.000090087479325E7,716.9657024896248,683.3474951785827,761.2865825106732,707.4976820467737,736.397368748067,735.7678408203308,735.1556318630771,734.0353797155891,719.4211136800593,718.7915856177361,718.1793765295939,717.0591241425891,702.9117970124623,702.282268811951,701.6700595894459,700.549806956621,698.3327788775892
6,1.0000955950952927E7,716.9660205751743,683.3476871830586,761.2870644792055,707.4977545542356,736.3977523617139,735.7682209890039,735.1560086821781,734.0357504065939,719.4214425218697,718.7919110136953,718.179698575127,717.0594400584724,702.9120719628359,702.2825403197265,701.670327749945,700.5500689932059,698.3330338428939
7,1.000100498972604E7,716.9663433474001,683.3478759325609,761.2875524780303,707.4978391827921,736.3981401865447,735.768605742501,735.1563904493686,734.0361267102401,719.4217753439716,718.7922407637535,718.1800253381899,717.0597613567336,702.9123507889556,702.2828160749409,701.6706005192651,700.5503362997241,698.3332939420044
8,1.000105000357478E7,716.9666692440754,683.3480625120801,761.2880444970498,707.4979318920781,736.3985308188321,735.7689935525476,735.1567755152856,734.0365067556482,719.422110819601,718.7925734165451,718.1803552462718,717.0600862432448,702.9126321989044,702.2830946617825,701.6708763611308,700.5506071195307,698.333557463651
9,1.0001090522891028E7,716.9669973289089,683.3482464135274,761.2885402264641,707.4980351086512,736.3989233542422,735.7693835437041,735.1571630325999,734.036889746946,719.4224479960861,718.792908048156,718.1806874034385,717.0604138732544,702.9129150960998,702.283375013463,701.6711542377458,700.5508804685959,698.3338234614841
