% Model,OC_transient.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 12 2018, 14:01"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
0,1.000000105649119E7,698.3283258012856,683.3445815696592,714.2376942294676,707.4901966433322
1,1.0000502526450815E7,698.3284430802755,683.3448051448121,714.2377858991978,707.4902039282645
2,1.00005875846554E7,698.3286234150976,683.3450164332688,714.2379153381191,707.490226955386
3,1.0000656309437497E7,698.3288281143871,683.3452216827541,714.238060373108,707.4902601079336
4,1.0000709600654988E7,698.3290616190791,683.3454160827899,714.2382416861577,707.4903215350557
5,1.0000759033481339E7,698.3293023251213,683.345607770463,714.2384320687227,707.4903900308212
6,1.0000808466307692E7,698.3295430311642,683.345799458135,714.2386224512875,707.4904585265867
7,9994319.348804422,698.2593452171457,682.9301082799714,714.2359842773925,707.4907441821118
8,9983471.197748054,698.1421883897534,682.2371618579175,714.231460399191,707.4911746108097
9,9972623.046691706,698.0250315623623,681.5442154358624,714.2269365209895,707.4916050395076
10,9961774.89563534,697.9078747349697,680.8512690138093,714.2224126427881,707.4920354682057
11,9950926.744579012,697.79071790758,680.1583225917547,714.2178887645865,707.4924658969036
12,9940078.59352265,697.6735610801882,679.4653761697017,714.2133648863851,707.4928963256015
13,9927068.014506185,697.4671253848553,678.4732381352038,714.2078516140014,707.4939126936661
14,9905407.723649323,696.9035742177574,676.284333650924,714.1983807648894,707.497272819197
15,9883747.432792408,696.3400230506604,674.095429166647,714.1889099157773,707.500632944728
16,9862087.141935512,695.7764718835654,671.9065246823691,714.1794390666653,707.503993070259
17,9840426.85107862,695.2129207164671,669.7176201980901,714.1699682175532,707.50735319579
18,9818766.560221726,694.649369549371,667.5287157138132,714.1604973684412,707.510713321321
19,9797106.269364815,694.0858183822734,665.3398112295354,714.1510265193291,707.5140734468519
