% Model:              
% Version:            COMSOL 5.2.1.229
% Date:               Jul 20 2017, 21:42
% Dimension:          2
% Nodes:              4862
% Expressions:        14
% Description:        power density, Dependent variable Flux2, Dependent variable Flux3, Dependent variable Flux4, Dependent variable Flux5, Dependent variable Flux6, Dependent variable Flux7, Dependent variable Flux8, Dependent variable Conc1, Dependent variable Conc2, Dependent variable Conc3, Dependent variable Conc4, Dependent variable Conc5, Dependent variable Conc6
% Length unit:        m
% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.01                      0.01                     0                        1.0471504264251494E-4    0.0021850530315008273    0.0013728283795460105    0.0038989442323198223    0.01529072366432323      0.0225559014830468       0.006687695774782527     1.5561977812845284E-6    3.173522582324941E-6     8.960024293134424E-7     8.783018065535162E-7     6.008644080352323E-8     3.321757461745543E-9
0.03                      0.01                     0                        1.061020183112762E-4     0.002171382553901164     0.0013666866548186739    0.003844700774850017     0.015390925279842003     0.022646351831175703     0.00670475529876531      7.564120008457859E-7     1.5425332270011206E-6    4.3551418039874244E-7    4.269105877340353E-7     2.9205862388633062E-8    1.6146013882751419E-9
0.05                      0.01                     0                        1.0474551710223877E-4    0.002122367192217741     0.0013431318405022       0.003771923610259231     0.01550794831803554      0.02277130988941364      0.006731688077844806     -2.2534122571617877E-6   -4.595344949047193E-6    -1.2974348355772385E-6   -1.2718037869728218E-6   -8.700663954747071E-8    -4.809944606577313E-9
0.06999999999999999       0.01                     0                        1.011170708179148E-4     0.0020273647268554892    0.0012966646923963949    0.003646307511367163     0.01569752674082452      0.022957355392320355     0.006768741215874733     -1.3737684970634875E-6   -2.8014989994361386E-6   -7.909663851526817E-7    -7.753407437966123E-7    -5.304265509934733E-8    -2.932351635388088E-9
0.09                      0.01                     0                        9.64507770063536E-5      0.0019160648364075859    0.0012416063746792175    0.003505172025746121     0.01590877030471361      0.023160587911973528     0.006808495816951025     -4.478322792573469E-7    -9.132521612257144E-7    -2.5784495510121833E-7   -2.527512356316492E-7    -1.7291272862583258E-8   -9.5593167338124E-10
0.11                      0.01                     0                        9.161985167404905E-5     0.001704525968252824     0.0011364860261225801    0.003130074549481116     0.016529627855659135     0.023645486284334667     0.006879370878584996     -1.7641241945640122E-9   -3.5978979203783247E-9   -1.0159650249166051E-9   -9.959533112904904E-10   -6.811066607416811E-11   -3.76219579768475E-12
0.13                      0.01                     0                        8.753570864124927E-5     0.001569496323400739     0.001060103442108707     0.003029629215489547     0.016683846747497073     0.02387446362424813      0.00693441989728424      -1.8091122093466436E-7   -3.689297512399224E-7    -1.041624580492993E-7    -1.0210472761397013E-7   -6.985173487038411E-9    -3.861538771218638E-10
0.15000000000000002       0.01                     0                        8.345156560844946E-5     0.0014344666785486536    9.837208580948335E-4     0.002929183881497977     0.016838065639335        0.02410344096416158      0.006989468915983481     -3.6005831767476523E-7   -7.342616045594672E-7    -2.073089510736822E-7    -2.0321350191665003E-7   -1.3902236308002662E-8   -7.685455584460439E-10
0.17                      0.01                     0                        7.936742257564964E-5     0.0012994370336965675    9.073382740809597E-4     0.002828738547506405     0.01699228453117293      0.024332418304075027     0.007044517934682721     -5.392054144148654E-7    -1.0995934578790109E-6   -3.104554440980648E-7    -3.043222762193295E-7    -2.081929912896689E-8    -1.1509372397702225E-9
0.19                      0.01                     0                        7.514131014136721E-5     0.0011935487354296456    8.417497015992137E-4     0.002780366128311262     0.017024935746144894     0.024418517308119732     0.00706971039818845      -1.3016322306987774E-6   -2.6544028570072193E-6   -7.494358338938611E-7    -7.346307995759515E-7    -5.0257392260527996E-8   -2.778310575720162E-9
