% r                       z                        Pdensity (W/m^3)         Flux2 (1/(m^2*s))        Flux3 (1/(m^2*s))        Flux4 (1/(m^2*s))        Flux5 (1/(m^2*s))        Flux6 (1/(m^2*s))        Flux7 (1/(m^2*s))        Flux8 (1/(m^2*s))        Conc1 (1/(m^2*s))        Conc2 (1/(m^2*s))        Conc3 (1/(m^2*s))        Conc4 (1/(m^2*s))        Conc5 (1/(m^2*s))        Conc6 (1/(m^2*s))
0.01                      0.01                     0                        9.056623813561556E-5     0.001922804900955367     0.0012083979696192399    0.0034095998616757027    0.013458334888545859     0.019827912326116276     0.005874633021650768     8.192542682073493E-9     1.6772770252722878E-8    4.696857205769052E-9     4.6261291984364245E-9    3.182270070226684E-10    1.7478303635882152E-11
0.03                      0.01                     0                        8.97191230249283E-5      0.0018915409230444683    0.001193369465673554     0.0033635362668959965    0.01353501016040696      0.01991063774624221      0.0058928458937772986    -6.478740054942694E-9    -1.3264064977829804E-8   -3.7143189962191974E-9   -3.658386620655888E-9    -2.5165691983193703E-10  -1.3822007434397681E-11
0.05                      0.01                     0                        8.872137269328587E-5     0.001857281435648433     0.001176794230157353     0.00331520879797042      0.013613603644789198     0.01999640754669498      0.005911830644305364     -2.5744439967066237E-8   -5.270715010096601E-8    -1.4759515215268924E-8   -1.4537257851538698E-8   -1.000004076404854E-9    -5.492423489775931E-11
0.06999999999999999       0.01                     0                        8.511821616839602E-5     0.0017652649474184762    0.0011316442078264863    0.0031925968262055742    0.013805554885997277     0.020179904287029288     0.005947978160717397     -4.513871968003551E-9    -9.24134794380684E-9     -2.587842737179436E-9    -2.548873496244009E-9    -1.753345722085073E-10   -9.630077973581606E-12
0.09                      0.01                     0                        8.127958626805829E-5     0.0016687999718352838    0.0010843026367558955    0.0030634626909494945    0.014008629392191276     0.02037116191872356      0.005985162811518417     2.5603658712592803E-8    5.241892558645235E-8     1.4678804076472221E-8    1.4457762108008786E-8    9.945356401702757E-10    5.4623886445829854E-11
0.11                      0.01                     0                        7.776857089872194E-5     0.0014897397128318464    9.950537500353547E-4     0.0027370464192230945    0.014561614245460793     0.02080759332846712      0.006050496797580241     -6.096093663352035E-9    -1.2480664724300854E-8   -3.4949444343342006E-9   -3.4423155285043403E-9   -2.367935958714326E-10   -1.3005654065616297E-11
0.13                      0.01                     0                        7.413958860072494E-5     0.0013753362342500911    9.296796086345178E-4     0.002658610107928205     0.014674643324934568     0.02098403156451239      0.006093864081124512     -8.322774924724346E-9    -1.7039397546622676E-8   -4.771520502752128E-9    -4.699668172071962E-9    -3.2328568274825435E-10  -1.7756146397106258E-11
0.15000000000000002       0.01                     0                        7.05106063027279E-5      0.0012609327556683352    8.643054672336802E-4     0.002580173796633313     0.014787672404408338     0.021160469800557642     0.006137231364668778     -1.0549456186096654E-8   -2.1598130368944484E-8   -6.048096571170052E-9    -5.957020815639584E-9    -4.0977776962507594E-10  -2.2506638728596212E-11
0.17                      0.01                     0                        6.688162400473092E-5     0.0011465292770865797    7.989313258328429E-4     0.0025017374853384226    0.014900701483882112     0.02133690803660291      0.006180598648213044     -1.2776137447468968E-8   -2.6156863191266306E-8   -7.32467263958798E-9     -7.214373459207205E-9    -4.962698565018977E-10   -2.7257131060086176E-11
0.19                      0.01                     0                        6.350865182456732E-5     0.0010408980907417095    7.366911152361828E-4     0.0024431952879637236    0.014999599779503717     0.021507943830153885     0.00622660230029584      -5.545891088810945E-8    -1.1354223064689141E-7   -3.17950843025689E-8     -3.1316295432229947E-8   -2.154218038226098E-9    -1.1831829523924748E-10
